"Player","Team","REC","YDS","TDS","FL","FPTS"
"MyCole Pruitt","PIT","6.5","67.4","1.0","0.0","19.2"
"Ross Dwelley","ATL","6.0","83.6","0.7","0.0","18.3"
"John Bates","WAS","8.1","76.2","0.4","0.0","18.1"
"Quintin Morris","BUF","6.2","65.3","0.9","0.0","18.0"
"Marcedes Lewis","CHI","6.9","59.2","0.7","0.0","16.8"
"Hunter Long","LAR","6.4","64.7","0.7","0.0","16.8"
"Ben Sims","GB","5.6","49.6","0.8","0.0","15.5"
"Julian Hill","MIA","6.8","63.9","0.6","1.0","14.8"
"Charlie Kolar","BAL","5.8","63.5","0.4","0.0","14.7"
"Charlie Woerner","ATL","7.3","58.5","0.3","0.0","14.6"
"Nate Adkins","DEN","5.4","47.6","0.6","0.0","13.6"
"Brady Russell","SEA","5.0","49.0","0.6","0.0","13.4"
"Ko Kieft","TB","4.8","46.0","0.6","0.0","13.1"
"Jake Tonges","SF","5.2","53.2","0.4","0.1","13.0"
"Eric Saubert","SF","7.0","47.0","0.0","0.0","11.7"
"Chris Manhertz","NYG","5.4","46.8","0.1","0.0","10.5"
"Anthony Firkser","NYJ","4.4","41.4","0.3","0.0","10.4"
"Josiah Deguara","JAC","5.0","51.0","0.0","0.0","10.1"
"Parker Hesse","DET","3.7","36.8","0.3","0.0","8.9"
"Nick Muse","MIN","3.7","35.8","0.3","0.0","8.8"
"Kenny Yeboah","NYJ","3.0","28.6","0.2","0.0","7.1"
"Mitchell Wilcox","NE","3.4","24.4","0.0","0.0","6.1"
"Teagan Quitoriano","HOU","2.0","22.4","0.2","0.0","5.3"
"Tommy Hudson","NO","2.0","19.6","0.2","0.0","5.0"
"Stephen Carlson","CHI","2.0","19.4","0.2","0.0","4.9"
""
""
