"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"KhaDarel Hodge","ATL","17.8","238.6","1.5","0.0","0.0","0.0","0.2","50.1"
"Bub Means","NO","18.2","220.5","1.5","0.0","0.0","0.0","0.1","48.9"
"Malik Washington","MIA","17.2","213.2","1.4","2.1","18.8","0.1","0.0","48.8"
"Jake Bobo","SEA","16.7","194.5","1.3","4.2","18.7","0.2","0.1","46.5"
"Jauan Jennings","SF","16.3","203.0","1.4","0.0","2.0","0.0","0.1","44.8"
"Jalen Nailor","MIN","16.6","220.3","0.9","0.0","0.3","0.0","0.1","44.0"
"Quez Watkins","PIT","14.0","196.0","1.0","0.0","5.0","0.0","0.0","40.1"
"Justin Watson","KC","12.9","177.6","1.4","0.0","0.0","0.0","0.1","39.0"
"Marquez Valdes-Scantling","BUF","12.3","191.2","1.3","0.0","1.3","0.0","0.1","39.0"
"Russell Gage","BAL","14.0","175.0","1.0","0.0","4.0","0.0","0.0","37.9"
"Mack Hollins","BUF","13.3","172.3","1.2","0.0","0.0","0.0","0.0","37.8"
"Deven Thompkins","CAR","12.0","139.0","1.0","0.0","36.0","0.0","0.0","35.5"
"Ryan Flournoy","DAL","13.0","156.2","1.2","0.0","0.0","0.0","0.1","35.4"
"Dyami Brown","WAS","12.1","159.5","1.0","0.0","2.0","0.0","0.1","34.2"
"Allen Lazard","NYJ","11.2","145.8","1.1","0.0","0.7","0.0","0.1","32.3"
"Jamari Thrash","CLE","11.0","141.0","1.0","0.0","6.0","0.0","0.0","31.7"
"Tyler Scott","CHI","11.1","128.4","0.9","2.1","20.6","0.1","0.0","31.4"
"Jacob Cowing","SF","11.0","134.0","1.0","0.0","6.0","0.0","0.0","31.0"
"David Bell","CLE","12.4","131.7","0.7","0.0","1.7","0.0","0.0","29.9"
"Marcus Rosemy-Jacksaint","WAS","10.0","126.0","1.0","0.0","6.0","0.0","0.0","29.2"
"Parris Campbell","PHI","12.1","123.9","0.8","0.0","1.7","0.0","0.1","29.0"
"Ainias Smith","PHI","10.4","128.2","0.9","0.0","3.0","0.0","0.0","28.7"
"Derius Davis","LAC","9.4","106.5","0.7","6.7","38.6","0.1","0.1","28.6"
"Mecole Hardman Jr.","KC","9.9","125.5","0.7","0.0","18.5","0.0","0.0","28.4"
"Chris Moore","ARI","10.6","134.1","0.6","0.0","8.0","0.0","0.0","28.3"
"Jamison Crowder","WAS","12.9","126.3","0.5","0.0","0.0","0.0","0.2","28.3"
"Jordan Whittington","LAR","10.7","131.1","0.8","0.0","0.0","0.0","0.1","28.2"
"Ray-Ray McCloud III","ATL","10.3","106.0","0.8","2.4","15.5","0.1","0.1","27.5"
"Johnny Wilson","PHI","10.2","121.4","0.7","0.0","2.5","0.0","0.0","27.0"
"Kadarius Toney","KC","7.8","88.7","0.6","7.5","44.3","0.2","0.1","26.1"
"Olamide Zaccheaus","WAS","8.8","118.7","0.7","0.0","2.5","0.0","0.0","25.3"
"Chase Claypool","BUF","8.9","111.7","0.8","0.0","2.5","0.0","0.0","25.2"
"D.J. Montgomery","IND","9.6","114.8","0.6","0.0","3.0","0.0","0.0","25.1"
"Donovan Peoples-Jones","DET","8.8","120.1","0.7","0.0","1.3","0.0","0.0","24.9"
"Skyy Moore","KC","8.9","103.0","0.8","0.0","3.0","0.0","0.0","24.0"
"Braxton Berrios","MIA","10.2","100.7","0.5","0.0","4.0","0.0","0.0","23.6"
"Isaiah Hodgins","NYG","8.7","108.8","0.6","0.0","2.0","0.0","0.0","23.3"
"Danny Gray","SF","7.0","94.0","1.0","0.0","4.0","0.0","0.0","22.8"
"Jalen Guyton","LV","6.6","90.3","0.6","6.0","25.0","0.2","0.1","22.4"
"Trent Sherfield Sr.","MIN","8.3","103.3","0.6","0.0","1.3","0.0","0.0","22.3"
"Allen Robinson II","NYG","9.0","88.8","0.7","0.0","2.0","0.0","0.0","22.2"
"Xavier Hutchinson","HOU","7.9","98.5","0.6","0.0","9.5","0.0","0.0","22.2"
"Rakim Jarrett","TB","7.8","97.3","0.6","0.0","5.0","0.0","0.0","21.6"
"Isaiah McKenzie","NYG","9.0","80.0","0.5","1.9","10.1","0.1","0.1","21.5"
"Kyle Philips","TEN","9.0","104.1","0.3","0.0","2.0","0.0","0.0","21.4"
"Ashton Dulin","IND","7.7","90.1","0.8","0.0","2.0","0.0","0.0","21.4"
"David Moore","CAR","7.5","100.6","0.6","0.0","1.7","0.0","0.1","21.2"
"Devin Duvernay","JAC","8.1","82.5","0.4","3.3","16.9","0.1","0.1","20.8"
"Kayshon Boutte","NE","7.0","88.1","0.6","0.0","2.5","0.0","0.0","19.6"
"Nick Westbrook-Ikhine","TEN","7.0","94.1","0.5","0.0","1.3","0.0","0.0","19.6"
"Bo Melton","GB","6.7","79.2","0.6","1.1","6.5","0.0","0.1","18.6"
"John Metchie III","HOU","6.9","81.5","0.5","0.0","2.7","0.0","0.0","18.4"
"Jason Brownlee","NYJ","6.3","78.4","0.6","0.0","1.5","0.0","0.0","17.8"
"Tyquan Thornton","NE","6.0","76.7","0.6","0.0","4.0","0.0","0.0","17.6"
"Ronnie Bell","SF","6.3","75.9","0.6","0.0","2.0","0.0","0.0","17.6"
"Zach Pascal","ARI","6.0","75.7","0.6","0.0","2.0","0.0","0.0","17.3"
"Sterling Shepard","TB","7.0","71.4","0.5","0.0","0.0","0.0","0.1","17.3"
"Justyn Ross","KC","5.8","73.1","0.7","0.0","0.0","0.0","0.0","17.1"
"Charlie Jones","CIN","6.2","76.0","0.5","0.0","1.7","0.0","0.0","16.8"
"Deonte Harty","BAL","5.8","70.6","0.6","0.0","5.0","0.0","0.0","16.7"
"Jalen Reagor","NE","5.5","74.6","0.5","1.0","5.3","0.0","0.0","16.7"
"KJ Hamler","BUF","5.4","74.3","0.6","0.0","2.5","0.0","0.0","16.6"
"Laviska Shenault Jr.","SEA","5.8","61.6","0.2","3.2","28.9","0.1","0.1","16.5"
"Michael Woods II","CLE","5.3","68.8","0.6","0.0","2.0","0.0","0.0","15.9"
"Ben Skowronek","HOU","5.4","65.9","0.6","0.0","2.0","0.0","0.0","15.7"
"Malik Heath","GB","5.4","64.6","0.6","0.0","1.5","0.0","0.0","15.6"
"Chris Conley","SF","5.3","64.9","0.6","0.0","2.0","0.0","0.0","15.5"
"Dee Eskridge","SEA","5.3","64.8","0.3","4.3","15.4","0.1","0.0","15.5"
"Anthony Gould","IND","6.2","69.9","0.3","0.0","0.0","0.0","0.0","15.1"
"Jalen Brooks","DAL","5.4","65.1","0.5","0.0","0.0","0.0","0.1","14.9"
"Tim Jones","JAC","4.9","56.9","0.6","0.0","2.0","0.0","0.0","14.3"
"Scotty Miller","PIT","5.6","69.3","0.3","0.0","1.3","0.0","0.0","14.2"
"Equanimeous St. Brown","NO","4.3","56.7","0.6","0.0","2.0","0.0","0.0","13.7"
"Simi Fehoko","LAC","5.2","60.4","0.3","0.0","0.0","0.0","0.0","13.3"
"Terrace Marshall Jr.","CAR","4.9","61.1","0.1","0.0","2.0","0.0","0.0","11.8"
"Phillip Dorsett II","DEN","4.3","47.4","0.3","0.0","0.0","0.0","0.0","10.9"
"Josh Ali","ATL","3.5","43.6","0.3","0.0","0.0","0.0","0.0","9.9"
"Tylan Wallace","BAL","4.0","50.7","0.1","0.0","2.0","0.0","0.0","9.9"
"Racey McMath","DAL","3.4","42.7","0.4","0.0","0.0","0.0","0.0","9.8"
"Tyler Johnson","LAR","3.4","40.2","0.3","0.0","0.0","0.0","0.0","9.4"
"River Cracraft","MIA","3.7","42.1","0.2","0.0","0.0","0.0","0.0","9.3"
"Dareke Young","SEA","3.4","39.8","0.3","0.0","0.0","0.0","0.0","8.9"
"Easop Winston Jr.","SEA","3.4","39.5","0.3","0.0","0.0","0.0","0.0","8.9"
"Denzel Mims","JAC","3.4","39.8","0.2","0.0","0.0","0.0","0.0","8.6"
"Dax Milne","LV","3.4","39.5","0.2","0.0","0.0","0.0","0.0","8.4"
"DJ Turner","LV","3.3","37.8","0.2","0.0","0.0","0.0","0.1","8.2"
"Ihmir Smith-Marsette","CAR","2.4","28.6","0.1","2.1","14.1","0.1","0.1","8.1"
"Jaelon Darden","CLE","3.2","37.1","0.2","0.0","0.0","0.0","0.0","8.1"
"James Proche II","CLE","3.2","36.9","0.2","0.0","0.0","0.0","0.0","7.9"
"Miles Boykin","NYG","3.3","35.9","0.2","0.0","0.0","0.0","0.0","7.9"
"Lil'Jordan Humphrey","DEN","3.0","36.5","0.2","0.0","0.0","0.0","0.0","7.7"
"David Sills","DEN","3.0","32.8","0.2","0.0","0.0","0.0","0.0","7.3"
"Tre'Quan Smith","DET","1.9","24.4","0.2","0.0","0.0","0.0","0.0","5.3"
"Andy Isabella","BUF","1.8","23.3","0.2","0.0","0.0","0.0","0.0","5.2"
"Austin Mack","ATL","1.8","22.0","0.2","0.0","0.0","0.0","0.0","5.0"
"Tom Kennedy","DET","1.7","22.2","0.2","0.0","0.0","0.0","0.0","4.9"
"Daurice Fountain","DET","1.7","22.0","0.2","0.0","0.0","0.0","0.0","4.9"
"Maurice Alexander","DET","1.7","21.9","0.2","0.0","0.0","0.0","0.0","4.9"
"Antoine Green","DET","1.7","21.8","0.2","0.0","0.0","0.0","0.0","4.9"
"Montrell Washington","KC","1.8","21.2","0.2","0.0","0.0","0.0","0.0","4.9"
"Samori Toure","GB","1.7","21.2","0.2","0.0","0.0","0.0","0.0","4.8"
"Braylon Sanders","MIA","1.8","20.2","0.2","0.0","0.0","0.0","0.0","4.8"
"Erik Ezukanma","MIA","1.8","20.1","0.2","0.0","0.0","0.0","0.0","4.8"
"Seth Williams","JAC","1.8","19.9","0.2","0.0","0.0","0.0","0.0","4.8"
"Elijah Cooks","JAC","1.8","19.7","0.2","0.0","0.0","0.0","0.0","4.8"
"Dante Pettis","CHI","1.7","20.9","0.2","0.0","0.0","0.0","0.0","4.8"
"Kwamie Lassiter II","CIN","1.7","19.9","0.2","0.0","0.0","0.0","0.0","4.7"
"Collin Johnson","CHI","1.7","20.2","0.2","0.0","0.0","0.0","0.0","4.7"
"Anthony Schwartz","MIA","1.7","19.9","0.2","0.0","0.0","0.0","0.0","4.7"
"Shedrick Jackson","CIN","1.7","19.9","0.2","0.0","0.0","0.0","0.0","4.7"
"Nsimba Webster","CHI","1.7","19.9","0.2","0.0","0.0","0.0","0.0","4.7"
"Velus Jones Jr.","CHI","1.7","19.8","0.2","0.0","0.0","0.0","0.0","4.7"
"Cody White","SEA","1.7","19.5","0.2","0.0","0.0","0.0","0.0","4.7"
"Stanley Morgan Jr.","NO","1.7","19.6","0.2","0.0","0.0","0.0","0.0","4.7"
"Cephus Johnson III","TB","1.7","19.6","0.2","0.0","0.0","0.0","0.0","4.6"
"Irvin Charles","NYJ","1.7","18.8","0.2","0.0","0.0","0.0","0.0","4.6"
"Malik Taylor","NYJ","1.7","18.7","0.2","0.0","0.0","0.0","0.0","4.6"
"Lance McCutcheon","NYJ","1.7","18.6","0.2","0.0","0.0","0.0","0.0","4.5"
"Jacob Harris","PHI","1.6","18.5","0.2","0.0","0.0","0.0","0.0","4.5"
"Britain Covey","PHI","1.6","18.5","0.2","0.0","0.0","0.0","0.0","4.5"
"Mason Kinsey","TEN","1.5","18.8","0.2","0.0","0.0","0.0","0.0","4.4"
"Tyrie Cleveland","IND","1.5","18.5","0.2","0.0","0.0","0.0","0.0","4.4"
"Colton Dowell","TEN","1.5","18.8","0.2","0.0","0.0","0.0","0.0","4.4"
"Trishton Jackson","MIN","1.6","18.0","0.2","0.0","0.0","0.0","0.0","4.4"
"Kristian Wilkerson","LV","1.5","18.2","0.2","0.0","0.0","0.0","0.0","4.4"
"Juwann Winfree","IND","1.5","18.2","0.2","0.0","0.0","0.0","0.0","4.4"
"N'Keal Harry","MIN","1.6","17.3","0.2","0.0","0.0","0.0","0.0","4.3"
"Cam Sims","CAR","1.6","20.9","0.1","0.0","0.0","0.0","0.0","4.3"
"Marquez Callaway","NO","1.4","17.2","0.2","0.0","0.0","0.0","0.0","4.2"
"Jalen Virgil","DEN","1.5","17.3","0.2","0.0","0.0","0.0","0.0","4.2"
"Dez Fitzpatrick","PIT","1.5","16.5","0.2","0.0","0.0","0.0","0.0","4.1"
"Andre Baccellia","ARI","1.5","16.8","0.2","0.0","0.0","0.0","0.0","4.1"
"Gunner Olszewski","NYG","1.7","17.7","0.1","0.0","0.0","0.0","0.0","4.1"
"Mike Strachan","CAR","1.5","19.7","0.1","0.0","0.0","0.0","0.0","4.1"
"Jeff Smith","ARI","1.5","16.9","0.1","0.0","0.0","0.0","0.0","4.0"
"Kawaan Baker","NE","1.5","19.4","0.1","0.0","0.0","0.0","0.0","3.9"
"Quintez Cephus","HOU","0.5","1.5","0.1","0.0","0.0","0.0","0.0","0.9"
""
""
