"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Michael Wilson","ARI","45.0","591.9","3.4","0.0","1.3","0.0","0.2","79.5"
"Ja'Lynn Polk","NE","49.9","614.5","2.8","0.7","5.8","0.0","0.4","78.0"
"Quentin Johnston","LAC","44.4","554.3","3.5","1.7","6.9","0.0","0.2","76.9"
"Darius Slayton","NYG","40.6","582.4","3.1","0.0","1.3","0.0","0.1","76.5"
"Malachi Corley","NYJ","46.2","518.6","3.4","4.4","31.6","0.1","0.1","76.0"
"DJ Chark Jr.","LAC","34.9","505.0","4.3","0.0","1.3","0.0","0.5","75.7"
"Odell Beckham Jr.","MIA","37.4","510.1","3.4","0.0","2.3","0.0","0.4","71.0"
"Ricky Pearsall","SF","37.6","485.8","3.5","2.2","14.5","0.1","0.7","70.0"
"Roman Wilson","PIT","39.8","517.2","2.9","0.7","10.0","0.0","0.4","69.2"
"Troy Franklin","DEN","40.8","517.1","3.1","1.0","5.0","0.0","0.7","69.2"
"Jalin Hyatt","NYG","39.1","522.6","2.3","0.0","1.0","0.0","0.2","65.7"
"Rondale Moore","ATL","36.0","364.0","2.5","16.7","92.9","0.8","0.2","64.7"
"Tyler Boyd","TEN","46.7","501.7","2.3","1.3","7.5","0.0","0.5","64.1"
"Zay Jones","ARI","42.7","454.7","2.9","0.3","3.0","0.0","0.5","62.4"
"Jalen McMillan","TB","38.7","440.7","2.7","0.0","6.7","0.0","0.1","60.6"
"Tim Patrick","DEN","32.3","419.4","3.1","0.0","1.0","0.0","0.1","60.4"
"Elijah Moore","CLE","37.5","430.9","2.5","4.1","14.4","0.0","0.8","58.3"
"Trey Palmer","TB","33.5","403.1","2.5","4.2","22.9","0.1","0.2","57.9"
"Josh Reynolds","DEN","31.9","414.3","2.8","0.0","1.3","0.0","0.4","57.6"
"Luke McCaffrey","WAS","37.0","433.4","2.1","2.0","13.6","0.1","0.1","57.5"
"Jalen Tolbert","DAL","32.6","407.0","2.5","0.0","1.7","0.0","0.2","55.6"
"Greg Dortch","ARI","35.1","361.4","2.3","3.2","21.0","0.1","0.1","52.0"
"Noah Brown","HOU","25.3","390.5","2.1","0.3","0.8","0.0","0.1","51.5"
"Cedrick Wilson Jr.","NO","24.6","308.0","2.6","0.3","2.3","0.0","0.1","46.5"
"A.T. Perry","NO","21.4","317.0","2.4","0.3","2.0","0.0","0.0","46.0"
"Alec Pierce","IND","22.7","340.9","2.0","0.0","1.0","0.0","0.0","45.9"
"Devontez Walker","BAL","25.4","311.2","2.3","0.0","3.5","0.0","0.1","45.2"
"KaVontae Turpin","DAL","17.8","210.0","2.6","8.7","66.9","0.4","0.4","44.7"
"Van Jefferson","PIT","24.2","326.2","1.9","0.0","4.0","0.0","0.1","44.1"
"Nelson Agholor","BAL","24.3","306.1","2.3","0.0","2.0","0.0","0.2","44.0"
"Jonathan Mingo","CAR","29.4","342.0","1.6","0.0","2.0","0.0","0.1","43.9"
"Cedric Tillman","CLE","24.1","303.2","1.9","0.0","1.7","0.0","0.1","41.8"
"Tre Tucker","LV","25.7","306.1","1.6","0.0","11.7","0.0","0.2","41.4"
"Trenton Irwin","CIN","22.2","277.9","1.8","0.0","1.5","0.0","0.1","38.9"
"Kalif Raymond","DET","22.3","269.7","1.6","2.3","22.3","0.1","0.2","38.6"
"Javon Baker","NE","22.5","268.8","1.8","0.0","9.5","0.0","0.0","38.4"
"Treylon Burks","TEN","21.0","279.6","1.3","1.8","14.4","0.0","0.6","36.6"
"Brandon Johnson","DEN","15.7","211.5","2.5","0.0","3.7","0.0","0.0","36.3"
"K.J. Osborn","NE","21.9","268.1","1.5","0.0","2.0","0.0","0.1","36.1"
"Andrei Iosivas","CIN","21.4","244.8","1.9","0.0","2.0","0.0","0.1","36.0"
"Calvin Austin III","PIT","20.6","235.6","1.2","4.5","31.9","0.1","0.1","34.2"
"Marquez Callaway","PIT","18.7","243.6","1.6","0.0","0.0","0.0","0.0","33.9"
"Tutu Atwell","LAR","18.5","243.1","1.3","2.2","14.1","0.1","0.1","33.5"
"Robert Woods","HOU","22.2","242.4","1.4","1.0","5.7","0.0","0.0","33.2"
"Parker Washington","JAC","21.0","223.7","1.6","0.0","4.0","0.0","0.0","32.6"
"KhaDarel Hodge","ATL","17.8","238.6","1.5","0.0","0.0","0.0","0.2","32.3"
"Malik Washington","MIA","17.2","213.2","1.4","2.1","18.8","0.1","0.0","31.6"
"Brenden Rice","LAC","20.0","246.0","1.0","0.0","6.0","0.0","0.0","31.2"
"Xavier Gipson","NYJ","16.7","187.8","1.3","4.6","32.5","0.2","0.1","30.8"
"Bub Means","NO","18.1","217.9","1.5","0.0","0.0","0.0","0.1","30.4"
"Brandon Powell","MIN","21.1","208.1","1.3","1.9","14.7","0.0","0.1","30.0"
"Jake Bobo","SEA","16.7","194.6","1.3","4.2","18.7","0.2","0.1","29.8"
"JuJu Smith-Schuster","NE","21.0","222.0","1.1","0.0","1.3","0.0","0.1","29.0"
"Jauan Jennings","SF","15.2","189.3","1.3","0.0","2.0","0.0","0.1","26.7"
"Marquez Valdes-Scantling","BUF","12.3","191.2","1.3","0.0","1.3","0.0","0.1","26.7"
"Justin Watson","KC","13.0","179.6","1.4","0.0","0.0","0.0","0.1","26.4"
"Mack Hollins","BUF","13.3","172.3","1.2","0.0","0.0","0.0","0.0","24.4"
"Deven Thompkins","CAR","12.0","139.0","1.0","0.0","36.0","0.0","0.0","23.5"
"Ryan Flournoy","DAL","13.0","156.3","1.2","0.0","0.0","0.0","0.1","22.4"
"Jamison Crowder","WAS","18.6","183.4","0.7","0.0","0.0","0.0","0.3","22.0"
"Dyami Brown","WAS","12.1","158.7","1.0","0.0","2.0","0.0","0.1","22.0"
"Jamari Thrash","CLE","11.0","141.0","1.0","0.0","6.0","0.0","0.0","20.7"
"Tyler Scott","CHI","11.1","128.4","0.9","2.1","20.6","0.1","0.0","20.3"
"Jacob Cowing","SF","11.0","134.0","1.0","0.0","6.0","0.0","0.0","20.0"
"Allen Lazard","NYJ","10.5","134.0","1.0","0.0","1.0","0.0","0.0","19.5"
"Marcus Rosemy-Jacksaint","WAS","10.0","126.0","1.0","0.0","6.0","0.0","0.0","19.2"
"Derius Davis","LAC","9.4","106.5","0.7","6.7","38.6","0.1","0.1","19.2"
"Mecole Hardman Jr.","KC","9.9","125.5","0.7","0.0","18.5","0.0","0.0","18.4"
"Ainias Smith","PHI","10.4","128.2","0.9","0.0","3.0","0.0","0.0","18.3"
"Quez Watkins","PIT","10.3","137.3","0.7","0.0","2.5","0.0","0.0","18.1"
"Kadarius Toney","KC","7.6","87.1","0.6","7.5","44.3","0.2","0.1","18.0"
"Chris Moore","ARI","10.6","134.1","0.6","0.0","8.0","0.0","0.0","17.7"
"Jordan Whittington","LAR","10.7","131.1","0.8","0.0","0.0","0.0","0.1","17.6"
"David Bell","CLE","12.4","131.6","0.7","0.0","1.7","0.0","0.0","17.5"
"Ray-Ray McCloud III","ATL","10.3","106.0","0.8","2.4","15.5","0.1","0.1","17.2"
"Parris Campbell","PHI","12.1","123.9","0.8","0.0","1.7","0.0","0.1","16.9"
"Johnny Wilson","PHI","10.2","121.4","0.7","0.0","2.5","0.0","0.0","16.8"
"Trent Sherfield Sr.","MIN","9.7","121.6","0.7","0.0","1.3","0.0","0.0","16.5"
"Olamide Zaccheaus","WAS","8.8","118.7","0.7","0.0","2.5","0.0","0.0","16.4"
"Chase Claypool","BUF","8.9","111.7","0.8","0.0","2.5","0.0","0.0","16.3"
"Donovan Peoples-Jones","DET","8.8","120.1","0.7","0.0","1.3","0.0","0.0","16.0"
"Danny Gray","SF","7.0","94.0","1.0","0.0","4.0","0.0","0.0","15.8"
"D.J. Montgomery","IND","9.6","114.8","0.6","0.0","3.0","0.0","0.0","15.5"
"Skyy Moore","KC","8.9","103.0","0.8","0.0","3.0","0.0","0.0","15.1"
"Isaiah Hodgins","NYG","8.7","108.8","0.6","0.0","2.0","0.0","0.0","14.6"
"Xavier Hutchinson","HOU","7.9","98.5","0.6","0.0","9.5","0.0","0.0","14.3"
"Allen Robinson II","NYG","11.1","100.5","0.7","0.0","1.3","0.0","0.1","14.2"
"Jason Brownlee","NYJ","7.8","94.1","0.7","0.0","1.0","0.0","0.1","13.9"
"Rakim Jarrett","TB","7.8","97.3","0.6","0.0","5.0","0.0","0.0","13.7"
"Ashton Dulin","IND","7.7","90.1","0.8","0.0","2.0","0.0","0.0","13.7"
"David Moore","CAR","7.5","100.6","0.6","0.0","1.7","0.0","0.1","13.7"
"Braxton Berrios","MIA","10.2","100.7","0.5","0.0","4.0","0.0","0.0","13.5"
"Devin Duvernay","JAC","8.1","82.5","0.4","3.3","16.9","0.1","0.1","12.7"
"Kayshon Boutte","NE","7.0","88.1","0.6","0.0","2.5","0.0","0.0","12.6"
"Nick Westbrook-Ikhine","TEN","7.0","94.1","0.5","0.0","1.3","0.0","0.0","12.6"
"Kyle Philips","TEN","9.0","104.1","0.3","0.0","2.0","0.0","0.0","12.4"
"Bo Melton","GB","6.7","79.3","0.6","1.1","6.5","0.0","0.1","11.9"
"John Metchie III","HOU","6.9","81.5","0.5","0.0","2.7","0.0","0.0","11.6"
"Tyquan Thornton","NE","6.0","76.7","0.6","0.0","4.0","0.0","0.0","11.6"
"Justyn Ross","KC","5.8","73.1","0.7","0.0","0.0","0.0","0.0","11.3"
"Ronnie Bell","SF","6.3","75.9","0.6","0.0","2.0","0.0","0.0","11.3"
"Zach Pascal","ARI","6.0","75.7","0.6","0.0","2.0","0.0","0.0","11.3"
"KJ Hamler","BUF","5.4","74.3","0.6","0.0","2.5","0.0","0.0","11.2"
"Deonte Harty","BAL","5.8","70.6","0.6","0.0","5.0","0.0","0.0","10.9"
"Laviska Shenault Jr.","SEA","5.8","61.6","0.2","3.2","28.9","0.1","0.1","10.7"
"Charlie Jones","CIN","6.2","76.0","0.5","0.0","1.7","0.0","0.0","10.6"
"Michael Woods II","CLE","5.3","68.8","0.6","0.0","2.0","0.0","0.0","10.6"
"Isaiah McKenzie","NYG","6.2","57.1","0.4","3.8","16.9","0.1","0.1","10.6"
"Sterling Shepard","TB","7.1","76.2","0.5","0.0","0.0","0.0","0.1","10.6"
"Ben Skowronek","HOU","5.4","65.9","0.6","0.0","2.0","0.0","0.0","10.3"
"Chris Conley","SF","5.3","64.9","0.6","0.0","2.0","0.0","0.0","10.2"
"Dee Eskridge","SEA","5.3","64.8","0.3","4.3","15.4","0.1","0.0","10.1"
"Malik Heath","GB","5.4","64.6","0.6","0.0","1.5","0.0","0.0","10.1"
"Jalen Guyton","LV","5.0","67.9","0.5","0.0","1.3","0.0","0.0","9.8"
"Jalen Brooks","DAL","5.4","65.1","0.5","0.0","0.0","0.0","0.1","9.5"
"Tim Jones","JAC","4.9","56.9","0.6","0.0","2.0","0.0","0.0","9.4"
"Jalen Reagor","NE","4.5","60.6","0.5","1.0","5.3","0.0","0.0","9.4"
"Equanimeous St. Brown","NO","4.3","56.7","0.6","0.0","2.0","0.0","0.0","9.4"
"Anthony Gould","IND","6.2","70.0","0.3","0.0","0.0","0.0","0.0","8.9"
"Tyler Johnson","LAR","5.1","60.5","0.4","0.0","0.0","0.0","0.1","8.4"
"Scotty Miller","PIT","5.4","66.3","0.2","0.0","2.0","0.0","0.0","8.2"
"Simi Fehoko","LAC","5.2","60.4","0.3","0.0","0.0","0.0","0.0","8.1"
"Damiere Byrd","WAS","4.6","65.0","0.2","0.0","2.0","0.0","0.0","7.7"
"Jalen Nailor","MIN","4.6","55.7","0.3","0.0","0.0","0.0","0.1","7.0"
"Terrace Marshall Jr.","CAR","4.9","61.1","0.1","0.0","2.0","0.0","0.0","6.9"
"Phillip Dorsett II","DEN","4.3","47.4","0.3","0.0","0.0","0.0","0.0","6.6"
"Josh Ali","ATL","3.5","43.6","0.3","0.0","0.0","0.0","0.0","6.4"
"Racey McMath","DAL","3.4","42.7","0.4","0.0","0.0","0.0","0.0","6.4"
"Tylan Wallace","BAL","4.0","50.7","0.1","0.0","2.0","0.0","0.0","6.0"
"Ihmir Smith-Marsette","CAR","2.4","28.6","0.1","2.1","14.1","0.1","0.1","5.7"
"River Cracraft","MIA","3.7","42.1","0.2","0.0","0.0","0.0","0.0","5.6"
"Dareke Young","SEA","3.4","39.8","0.3","0.0","0.0","0.0","0.0","5.5"
"Easop Winston Jr.","SEA","3.4","39.5","0.3","0.0","0.0","0.0","0.0","5.5"
"Denzel Mims","JAC","3.4","39.8","0.2","0.0","0.0","0.0","0.0","5.2"
"Dax Milne","WAS","3.4","39.5","0.2","0.0","0.0","0.0","0.0","5.0"
"Jaelon Darden","CLE","3.2","37.1","0.2","0.0","0.0","0.0","0.0","4.8"
"James Proche II","CLE","3.2","36.9","0.2","0.0","0.0","0.0","0.0","4.8"
"Lil'Jordan Humphrey","DEN","3.0","36.5","0.2","0.0","0.0","0.0","0.0","4.7"
"Miles Boykin","NYG","3.3","35.9","0.2","0.0","0.0","0.0","0.0","4.6"
"David Sills","DEN","3.0","32.8","0.2","0.0","0.0","0.0","0.0","4.3"
"Tre'Quan Smith","DET","1.9","24.4","0.2","0.0","0.0","0.0","0.0","3.5"
"Andy Isabella","BUF","1.8","23.3","0.2","0.0","0.0","0.0","0.0","3.4"
"Tom Kennedy","DET","1.7","22.2","0.2","0.0","0.0","0.0","0.0","3.2"
"Austin Mack","ATL","1.8","22.0","0.2","0.0","0.0","0.0","0.0","3.2"
"Daurice Fountain","DET","1.7","22.0","0.2","0.0","0.0","0.0","0.0","3.2"
"Maurice Alexander","DET","1.7","21.9","0.2","0.0","0.0","0.0","0.0","3.2"
"Antoine Green","DET","1.7","21.8","0.2","0.0","0.0","0.0","0.0","3.2"
"Samori Toure","GB","1.7","21.2","0.2","0.0","0.0","0.0","0.0","3.1"
"Montrell Washington","KC","1.8","21.2","0.2","0.0","0.0","0.0","0.0","3.1"
"Dante Pettis","CHI","1.7","20.9","0.2","0.0","0.0","0.0","0.0","3.1"
"Collin Johnson","CHI","1.7","20.2","0.2","0.0","0.0","0.0","0.0","3.0"
"Braylon Sanders","MIA","1.8","20.2","0.2","0.0","0.0","0.0","0.0","3.0"
"Erik Ezukanma","MIA","1.8","20.1","0.2","0.0","0.0","0.0","0.0","3.0"
"Nsimba Webster","CHI","1.7","19.9","0.2","0.0","0.0","0.0","0.0","3.0"
"Anthony Schwartz","MIA","1.7","19.9","0.2","0.0","0.0","0.0","0.0","3.0"
"Seth Williams","JAC","1.8","19.9","0.2","0.0","0.0","0.0","0.0","3.0"
"Shedrick Jackson","CIN","1.7","19.9","0.2","0.0","0.0","0.0","0.0","3.0"
"Kwamie Lassiter II","CIN","1.7","19.9","0.2","0.0","0.0","0.0","0.0","3.0"
"Velus Jones Jr.","CHI","1.7","19.8","0.2","0.0","0.0","0.0","0.0","3.0"
"Elijah Cooks","JAC","1.8","19.7","0.2","0.0","0.0","0.0","0.0","3.0"
"Stanley Morgan Jr.","NO","1.7","19.6","0.2","0.0","0.0","0.0","0.0","3.0"
"Cephus Johnson III","TB","1.7","19.6","0.2","0.0","0.0","0.0","0.0","3.0"
"Cody White","SEA","1.7","19.5","0.2","0.0","0.0","0.0","0.0","3.0"
"Irvin Charles","NYJ","1.7","18.8","0.2","0.0","0.0","0.0","0.0","2.9"
"Mason Kinsey","TEN","1.5","18.8","0.2","0.0","0.0","0.0","0.0","2.9"
"Colton Dowell","TEN","1.5","18.8","0.2","0.0","0.0","0.0","0.0","2.9"
"Malik Taylor","NYJ","1.7","18.7","0.2","0.0","0.0","0.0","0.0","2.9"
"Lance McCutcheon","NYJ","1.7","18.6","0.2","0.0","0.0","0.0","0.0","2.9"
"Tyrie Cleveland","IND","1.5","18.5","0.2","0.0","0.0","0.0","0.0","2.9"
"Jacob Harris","PHI","1.6","18.5","0.2","0.0","0.0","0.0","0.0","2.9"
"Britain Covey","PHI","1.6","18.5","0.2","0.0","0.0","0.0","0.0","2.9"
"DJ Turner","LV","1.5","18.2","0.2","0.0","0.0","0.0","0.0","2.8"
"Kristian Wilkerson","LV","1.5","18.2","0.2","0.0","0.0","0.0","0.0","2.8"
"Juwann Winfree","IND","1.5","18.2","0.2","0.0","0.0","0.0","0.0","2.8"
"Trishton Jackson","MIN","1.6","18.0","0.2","0.0","0.0","0.0","0.0","2.8"
"N'Keal Harry","MIN","1.6","17.3","0.2","0.0","0.0","0.0","0.0","2.7"
"Cam Sims","CAR","1.6","20.9","0.1","0.0","0.0","0.0","0.0","2.7"
"Dez Fitzpatrick","PIT","1.5","16.5","0.2","0.0","0.0","0.0","0.0","2.7"
"Jalen Virgil","DEN","1.5","17.3","0.2","0.0","0.0","0.0","0.0","2.6"
"Andre Baccellia","ARI","1.5","16.8","0.2","0.0","0.0","0.0","0.0","2.6"
"Jalen Camp","CLE","1.6","19.2","0.1","0.0","0.0","0.0","0.0","2.6"
"Mike Strachan","CAR","1.5","19.7","0.1","0.0","0.0","0.0","0.0","2.6"
"Jeff Smith","ARI","1.5","16.9","0.1","0.0","0.0","0.0","0.0","2.5"
"Gunner Olszewski","NYG","1.7","17.7","0.1","0.0","0.0","0.0","0.0","2.4"
"Kawaan Baker","NE","1.5","19.4","0.1","0.0","0.0","0.0","0.0","2.4"
"Quintez Cephus","HOU","0.5","1.5","0.1","0.0","0.0","0.0","0.0","0.4"
""
""
