"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jeremy McNichols","WAS","14.1","56.8","0.0","8.0","65.4","0.5","0.0","23.4"
"Royce Freeman","DAL","25.4","103.2","0.7","4.3","29.6","0.2","0.1","22.9"
"Craig Reynolds","DET","21.6","102.5","0.8","4.1","33.4","0.1","0.1","22.7"
"Kevin Harris","NE","6.0","99.8","0.8","4.6","33.8","0.0","0.0","22.7"
"Dare Ogunbowale","HOU","16.8","60.6","0.2","8.0","59.4","0.2","0.1","22.3"
"Hunter Luepke","DAL","7.9","28.1","1.4","5.7","39.1","0.2","0.0","21.9"
"Israel Abanikanda","NYJ","17.2","97.7","0.7","3.7","27.9","0.1","0.1","20.8"
"Kenny McIntosh","SEA","27.4","82.2","0.4","5.1","36.5","0.2","0.1","20.3"
"Jordan Mason","SF","27.3","103.1","0.9","2.2","15.0","0.1","0.0","19.9"
"Pierre Strong Jr.","CLE","18.7","98.1","0.7","2.7","19.9","0.0","0.0","18.7"
"Jeff Wilson Jr.","MIA","15.6","86.8","0.7","3.0","21.7","0.1","0.0","18.2"
"Julius Chestnut","TEN","14.4","60.3","0.4","5.3","37.7","0.1","0.2","17.9"
"Zander Horvath","NO","7.0","17.0","0.0","3.0","8.0","2.0","0.0","17.5"
"Cody Schrader","SF","33.0","105.5","0.5","2.0","16.0","0.0","0.0","17.2"
"Jaret Patterson","LAC","16.7","71.2","0.4","4.0","27.5","0.1","0.1","16.7"
"Alec Ingold","MIA","1.1","4.4","0.0","7.6","55.5","0.3","0.1","15.4"
"JaMycal Hasty","NE","16.8","55.2","0.3","4.5","31.3","0.1","0.1","15.3"
"Elijah Dotson","LAC","9.1","58.5","0.6","3.1","22.3","0.1","0.0","15.0"
"Zach Evans","LAR","2.3","57.1","0.5","3.0","22.1","0.1","0.0","14.4"
"La'Mical Perine","PIT","12.7","52.6","0.3","3.7","26.4","0.1","0.1","14.0"
"Boston Scott","LAR","2.3","54.3","0.6","2.5","19.1","0.1","0.0","13.7"
"Chris Evans","CIN","6.2","30.2","0.1","5.2","37.1","0.1","0.0","13.4"
"Keaontay Ingram","KC","15.4","51.7","0.3","2.9","18.5","0.1","0.0","12.1"
"Jacob Saylors","NYG","7.1","29.3","0.2","4.2","28.1","0.2","0.1","12.0"
"Raheem Blackshear","CAR","6.0","35.4","0.1","4.3","32.3","0.0","0.0","12.0"
"Sione Vaki","DET","12.7","53.3","0.4","2.0","14.5","0.1","0.1","11.8"
"Malik Davis","DAL","4.6","36.8","0.1","3.7","27.5","0.1","0.0","11.4"
"Cam Akers","HOU","11.7","46.5","0.3","2.2","16.7","0.1","0.1","11.2"
"Michael Burton","DEN","6.2","25.4","0.2","4.0","26.3","0.2","0.1","11.1"
"Myles Gaskin","MIN","13.7","54.1","0.3","2.1","13.7","0.1","0.1","11.0"
"Louis Rees-Zammit","KC","10.8","45.2","0.4","2.2","15.3","0.1","0.1","10.8"
"Salvon Ahmed","MIA","2.2","30.4","0.0","4.1","29.7","0.1","0.0","10.6"
"DeeJay Dallas","ARI","6.6","33.7","0.1","3.7","24.5","0.0","0.0","10.4"
"Sean Tucker","TB","10.0","38.8","0.2","2.8","20.5","0.1","0.0","10.4"
"Kene Nwangwu","MIN","9.7","43.0","0.2","2.7","17.3","0.1","0.0","10.3"
"Chris Brooks","MIA","6.9","29.4","0.2","3.2","21.9","0.2","0.1","10.2"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.5","33.6","0.3","0.0","9.5"
"Avery Williams","ATL","4.4","18.4","0.2","3.3","22.3","0.2","0.0","9.4"
"Travis Homer","CHI","3.1","27.3","0.0","3.4","24.4","0.1","0.0","9.3"
"Darrynton Evans","BUF","5.1","20.8","0.1","3.1","23.0","0.2","0.0","9.1"
"Giovanni Ricci","CLE","2.4","10.0","0.0","4.0","28.3","0.2","0.0","8.8"
"Gary Brightwell","JAC","8.7","35.0","0.2","2.0","12.7","0.0","0.0","8.2"
"Adam Prentice","NO","3.3","14.1","0.1","3.3","23.0","0.1","0.0","8.1"
"Keilan Robinson","JAC","0.0","33.0","0.0","2.0","15.0","0.0","0.0","6.8"
"Emanuel Wilson","GB","2.2","26.0","0.0","2.1","15.4","0.1","0.0","6.7"
"Jashaun Corbin","NYG","4.3","17.5","0.2","2.0","12.4","0.0","0.0","6.0"
"Hassan Haskins","TEN","2.4","27.7","0.0","1.9","12.3","0.0","0.0","5.9"
"Zonovan Knight","DET","2.3","9.3","0.0","2.2","16.2","0.2","0.0","5.7"
"J.J. Taylor","HOU","2.2","8.8","0.0","2.2","16.2","0.2","0.0","5.7"
"Jake Funk","DET","2.3","9.4","0.0","2.1","16.1","0.2","0.0","5.7"
"Jermar Jefferson","DET","2.3","9.4","0.0","2.1","15.9","0.2","0.0","5.7"
"Snoop Conner","DAL","2.3","9.2","0.0","2.1","15.6","0.2","0.0","5.6"
"James Robinson","NO","2.4","10.1","0.0","2.1","13.4","0.2","0.0","5.5"
"Khari Blasingame","CHI","2.3","9.3","0.0","2.1","14.4","0.2","0.0","5.4"
"Patrick Ricard","BAL","2.7","10.9","0.0","1.8","13.1","0.2","0.0","5.3"
"Patrick Taylor Jr.","SF","2.5","13.5","0.0","2.0","13.8","0.1","0.0","5.2"
"Tyler Goodson","IND","2.4","9.9","0.0","2.0","13.5","0.1","0.0","5.1"
"John Kelly Jr.","CLE","2.4","9.9","0.0","2.0","13.8","0.1","0.0","5.0"
"C.J. Ham","MIN","2.2","8.6","0.0","2.0","14.7","0.1","0.0","4.6"
"Tyrion Davis-Price","PHI","2.5","13.5","0.0","1.5","8.1","0.1","0.0","4.0"
"Mike Boone","CAR","0.0","0.0","0.0","1.9","14.0","0.0","0.0","3.3"
""
""
