"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Audric Estime","DEN","46.5","202.9","1.4","7.3","57.7","0.4","0.7","35.5"
"Trey Sermon","IND","44.4","228.5","1.2","6.5","44.8","0.1","0.1","35.0"
"Eric Gray","NYG","37.4","180.9","1.4","10.5","72.1","0.2","0.1","34.7"
"Deuce Vaughn","DAL","38.7","154.9","1.2","11.8","87.2","0.6","0.4","33.7"
"Isaiah Davis","NYJ","65.4","193.3","1.4","5.9","44.0","0.2","0.1","32.8"
"Ty Johnson","BUF","27.1","139.4","0.9","11.8","99.3","0.6","0.2","32.2"
"Dylan Laube","LV","41.3","171.1","1.1","8.7","62.2","0.2","0.1","30.6"
"Rasheen Ali","BAL","26.4","158.3","1.5","6.6","51.6","0.1","0.0","30.4"
"Isaac Guerendo","SF","29.9","167.3","1.3","5.2","43.0","0.1","0.0","29.2"
"Kendall Milton","PHI","34.0","146.0","2.0","2.0","25.0","0.0","0.0","29.1"
"Emani Bailey","KC","0.0","157.0","1.0","8.0","60.0","0.0","0.0","27.7"
"Evan Hull","IND","34.5","144.1","1.0","7.9","55.5","0.3","0.2","27.1"
"Jase McClellan","ATL","33.0","134.0","1.0","5.5","43.8","0.4","0.0","26.2"
"Emari Demercado","ARI","23.6","118.7","0.9","11.7","78.2","0.3","0.4","25.9"
"Chris Rodriguez Jr.","WAS","14.5","133.6","0.9","7.4","52.4","0.2","0.1","24.9"
"Cordarrelle Patterson","PIT","22.4","110.9","0.8","9.0","67.7","0.3","0.1","24.3"
"DeWayne McBride","MIN","0.0","147.0","1.0","5.0","36.0","0.0","0.0","24.3"
"Isaiah Spiller","LAC","42.0","144.1","0.9","5.2","33.3","0.1","0.1","23.6"
"Kyle Juszczyk","SF","5.6","19.1","0.1","14.9","140.1","1.1","0.0","23.1"
"Ameer Abdullah","LV","27.0","102.5","0.2","12.9","95.2","0.2","0.1","22.2"
"Michael Carter","ARI","24.6","109.7","0.8","8.8","57.5","0.1","0.1","22.1"
"Kevin Harris","NE","13.5","120.7","0.9","5.9","43.5","0.1","0.1","21.9"
"Andrew Beck","HOU","3.7","9.5","0.7","9.9","87.8","1.5","1.5","19.7"
"Blake Watson","DEN","0.0","108.0","1.0","4.0","29.0","0.0","0.0","19.7"
"Craig Reynolds","DET","23.0","107.0","0.8","4.1","33.4","0.1","0.1","19.3"
"Ronnie Rivers","LAR","27.2","112.3","0.7","4.6","34.0","0.1","0.0","19.3"
"Nyheim Hines","CLE","22.4","68.1","0.5","10.8","80.6","0.2","0.1","19.2"
"D'Ernest Johnson","JAC","31.8","114.2","0.5","5.4","39.2","0.1","0.1","19.0"
"Trayveon Williams","CIN","21.9","94.6","0.7","6.8","43.5","0.2","0.2","18.8"
"Royce Freeman","DAL","25.4","103.2","0.7","4.3","29.6","0.2","0.1","18.5"
"Jordan Mason","SF","27.3","103.1","0.9","2.2","15.0","0.1","0.0","17.8"
"Israel Abanikanda","NYJ","17.2","97.7","0.7","3.7","27.9","0.1","0.1","17.0"
"Hunter Luepke","DAL","7.9","28.1","1.4","5.7","39.1","0.2","0.0","16.3"
"Dare Ogunbowale","HOU","20.7","71.1","0.3","8.7","64.2","0.2","0.1","16.2"
"Pierre Strong Jr.","CLE","18.7","98.1","0.7","2.7","19.9","0.0","0.0","16.0"
"Jeremy McNichols","WAS","14.1","56.8","0.0","8.0","65.4","0.5","0.0","15.4"
"Kenny McIntosh","SEA","27.4","82.2","0.4","5.1","36.6","0.2","0.1","15.2"
"Cody Schrader","SF","33.0","105.5","0.5","2.0","16.0","0.0","0.0","15.2"
"Jawhar Jordan","HOU","11.3","89.9","0.6","3.1","22.4","0.0","0.0","15.0"
"Deneric Prince","KC","20.1","85.6","0.5","3.3","23.4","0.1","0.1","14.9"
"Zander Horvath","NO","7.0","17.0","0.0","3.0","8.0","2.0","0.0","14.5"
"Jeff Wilson Jr.","MIA","14.3","78.0","0.6","3.2","23.6","0.1","0.0","14.2"
"Rashaad Penny","CAR","16.4","77.5","0.6","3.3","24.0","0.1","0.0","14.0"
"Nick Bawden","NYJ","5.4","18.0","1.6","2.5","19.4","0.1","0.0","13.7"
"Julius Chestnut","TEN","14.4","60.3","0.4","5.3","37.7","0.1","0.2","12.6"
"Elijah Dotson","LAC","9.1","58.5","0.6","3.1","22.3","0.1","0.0","11.9"
"Zach Evans","LAR","2.3","57.1","0.5","3.0","22.1","0.1","0.0","11.4"
"Boston Scott","LAR","2.3","54.3","0.6","2.5","19.1","0.1","0.0","11.2"
"Keaontay Ingram","KC","15.4","51.7","0.3","2.9","18.5","0.1","0.0","9.2"
"Myles Gaskin","MIN","13.7","54.1","0.3","2.1","13.7","0.1","0.1","8.9"
"Chris Evans","CIN","7.9","35.1","0.2","5.2","37.1","0.1","0.0","8.8"
"Dante Miller","NYG","7.1","29.3","0.2","4.2","28.2","0.2","0.1","7.9"
"Malik Davis","DAL","4.6","36.8","0.1","3.7","27.5","0.1","0.0","7.8"
"Alec Ingold","MIA","1.1","4.4","0.0","7.6","55.5","0.3","0.1","7.7"
"Sean Tucker","TB","10.0","38.8","0.2","2.8","20.5","0.1","0.0","7.6"
"Kene Nwangwu","MIN","9.7","43.0","0.2","2.7","17.3","0.1","0.0","7.6"
"Sione Vaki","DET","8.5","35.5","0.3","2.1","14.8","0.1","0.0","7.2"
"Michael Burton","DEN","6.2","25.4","0.2","4.0","26.3","0.2","0.1","7.2"
"JaMycal Hasty","NE","9.4","34.1","0.1","3.2","22.6","0.1","0.0","7.0"
"Raheem Blackshear","CAR","0.0","27.5","0.0","5.5","41.2","0.0","0.0","6.9"
"Salvon Ahmed","MIA","2.2","30.4","0.0","4.1","29.7","0.1","0.0","6.5"
"DeeJay Dallas","ARI","4.9","33.0","0.1","3.5","24.1","0.0","0.0","6.2"
"Avery Williams","ATL","4.4","18.4","0.2","3.3","22.3","0.2","0.0","6.1"
"Darrynton Evans","BUF","5.1","20.8","0.1","3.1","23.0","0.2","0.0","6.0"
"Travis Homer","CHI","3.1","27.3","0.0","3.4","24.4","0.1","0.0","6.0"
"Cam Akers","HOU","4.5","17.8","0.2","2.2","17.6","0.2","0.0","5.6"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.5","33.6","0.3","0.0","5.0"
"Giovanni Ricci","CLE","2.4","10.0","0.0","4.0","28.3","0.2","0.0","4.9"
"Adam Prentice","NO","3.3","14.1","0.1","3.3","22.9","0.1","0.0","4.8"
"Keilan Robinson","JAC","0.0","33.0","0.0","2.0","15.0","0.0","0.0","4.8"
"Emanuel Wilson","GB","2.2","26.0","0.0","2.1","15.4","0.1","0.0","4.6"
"Jashaun Corbin","NYG","4.3","17.5","0.2","2.0","12.4","0.0","0.0","4.0"
"Hassan Haskins","TEN","2.4","27.7","0.0","1.9","12.3","0.0","0.0","4.0"
"Zonovan Knight","DET","2.3","9.3","0.0","2.2","16.2","0.2","0.0","3.6"
"Jake Funk","DET","2.3","9.4","0.0","2.1","16.1","0.2","0.0","3.6"
"Jermar Jefferson","DET","2.3","9.4","0.0","2.1","15.9","0.2","0.0","3.6"
"J.J. Taylor","HOU","2.2","8.8","0.0","2.2","16.2","0.2","0.0","3.5"
"Snoop Conner","DAL","2.3","9.2","0.0","2.1","15.6","0.2","0.0","3.5"
"Patrick Ricard","BAL","2.7","10.9","0.0","1.8","13.1","0.2","0.0","3.5"
"Chris Brooks","MIA","2.2","9.0","0.0","2.2","14.7","0.2","0.0","3.4"
"James Robinson","NO","2.4","10.1","0.0","2.1","13.4","0.2","0.0","3.4"
"Khari Blasingame","CHI","2.3","9.3","0.0","2.1","14.4","0.2","0.0","3.3"
"Patrick Taylor Jr.","SF","2.5","13.5","0.0","2.0","13.8","0.1","0.0","3.2"
"Tyler Goodson","IND","2.4","9.9","0.0","2.0","13.5","0.1","0.0","3.1"
"John Kelly Jr.","CLE","2.4","9.9","0.0","2.0","13.8","0.1","0.0","3.0"
"C.J. Ham","MIN","2.2","8.6","0.0","2.0","14.7","0.1","0.0","2.6"
"Tyrion Davis-Price","PHI","2.5","13.5","0.0","1.5","8.1","0.1","0.0","2.5"
"Mike Boone","CAR","0.0","0.0","0.0","1.9","14.0","0.0","0.0","1.4"
""
""
