Rank,Name,Team,Pos,Fantrax,Sleeper,MFL,Sleeper,MFL,Ottoneu,Status,Injury
57,Kyler Murray,ARI,QB,57.00,73.90,90.33,89.90,12.06,24.27,,
74,Raheem Mostert,MIA,RB,74.00,74.40,54.22,118.00,8.44,17.18,,
73,Terry McLaurin,WAS,WR,73.00,75.60,79.88,87.70,9.85,35.38,,
103,Brock Bowers,LV,TE,103.00,76.00,34.88,39.40,12.52,9.13,,
101,Jake Ferguson,DAL,TE,101.00,77.30,88.75,84.50,5.96,7.85,,
75,Jordan Love,GB,QB,75.00,78.60,80.17,64.80,11.36,25.69,,
77,Tony Pollard,TEN,RB,77.00,79.80,67.25,82.90,8.38,41.54,,
70,Jayden Reed,GB,WR,70.00,80.20,64.38,74.10,4.05,9.41,,
85,Jordan Addison,MIN,WR,85.00,80.40,87.75,59.20,3.74,16.71,,
62,Rashee Rice,KC,WR,62.00,82.10,75.38,67.00,4.56,16.62,,
84,David Njoku,CLE,TE,84.00,83.50,71.10,85.60,9.66,12.35,,
95,Hollywood Brown,KC,WR,95.00,84.90,85.78,105.10,7.72,22.15,,
78,Nick Chubb,CLE,RB,78.00,85.40,83.14,92.40,11.13,57.38,PUP-P,Knee - ACL + MCL
69,Calvin Ridley,TEN,WR,69.00,86.30,85.38,98.40,6.97,17.78,,
96,Chris Godwin,TB,WR,96.00,87.20,68.30,100.40,9.28,30.61,,
87,Javonte Williams,DEN,RB,87.00,88.90,80.88,77.90,5.86,35.76,,
114,Xavier Worthy,KC,WR,115.00,89.20,30.59,52.50,7.40,4.20,,
99,Zack Moss,CIN,RB,99.00,89.20,70.56,112.40,11.54,9.36,,
125,Jonathon Brooks,CAR,RB,128.00,91.10,24.58,58.30,14.68,4.61,NFI-A,Knee - ACL
119,Ladd McConkey,LAC,WR,121.00,92.80,34.52,72.00,10.26,4.29,,
76,Brock Purdy,SF,QB,76.00,93.80,84.86,88.80,10.77,22.47,,
100,Devin Singletary,NYG,RB,100.00,94.50,79.78,113.10,10.37,10.02,,
110,Austin Ekeler,WAS,RB,110.00,95.40,64.33,114.70,11.93,92.33,,
88,Caleb Williams,CHI,QB,88.00,96.20,23.70,31.10,22.66,16.98,,
91,DeAndre Hopkins,TEN,WR,91.00,97.30,116.29,125.30,9.69,29.14,,
86,Diontae Johnson,CAR,WR,86.00,98.40,76.40,116.70,6.30,29.79,,
104,Jaylen Warren,PIT,RB,104.00,98.50,85.86,97.90,6.45,14.28,,
94,Gus Edwards,LAC,RB,94.00,100.20,100.78,119.50,8.19,9.41,,
127,Brian Thomas,JAX,WR,130.00,101.20,36.27,75.10,10.84,4.58,,
126,Keon Coleman,BUF,WR,129.00,102.20,29.73,62.60,8.61,4.81,,
106,Dallas Goedert,PHI,TE,106.00,103.10,112.38,124.90,5.57,23.63,,
82,Brian Robinson,WAS,RB,82.00,104.30,88.14,106.30,4.55,16.10,,
111,Trey Benson,ARI,RB,112.00,105.60,34.44,80.30,8.12,4.24,,
90,Christian Watson,GB,WR,90.00,106.80,74.86,110.80,5.18,19.79,,
81,Tua Tagovailoa,MIA,QB,81.00,107.30,91.00,108.00,10.13,35.15,,
93,Jared Goff,DET,QB,93.00,108.00,68.33,122.50,10.89,23.20,,
116,T.J. Hockenson,MIN,TE,117.00,109.90,116.33,73.00,9.10,32.24,PUP-P,Knee - ACL + MCL
113,Tyjae Spears,TEN,RB,114.00,110.30,92.38,93.00,2.87,11.57,,
112,Jaxon Smith-Njigba,SEA,WR,113.00,111.00,101.17,65.60,3.09,17.65,,
129,Ezekiel Elliott,DAL,RB,133.00,112.00,109.56,145.90,6.42,11.21,,
109,Dalton Schultz,HOU,TE,109.00,113.20,108.90,107.80,4.11,12.49,,
107,Jayden Daniels,WAS,QB,107.00,114.50,31.35,79.30,23.29,9.12,,
123,Blake Corum,LAR,RB,126.00,115.10,42.35,96.80,5.76,5.33,,
97,Trevor Lawrence,JAX,QB,97.00,116.40,92.43,103.50,11.76,43.47,,
108,Jameson Williams,DET,WR,108.00,116.60,113.86,115.40,2.80,15.74,,
89,Justin Herbert,LAC,QB,89.00,118.00,89.71,76.20,13.30,68.38,,
98,Courtland Sutton,DEN,WR,98.00,119.00,109.22,132.80,8.13,16.02,,
130,Romeo Doubs,GB,WR,134.00,120.50,122.71,120.80,1.59,11.12,,
128,Pat Freiermuth,PIT,TE,132.00,121.30,160.29,125.30,4.46,16.22,,
117,Chase Brown,CIN,RB,118.00,122.60,109.86,116.60,2.44,8.86,,
132,Jerome Ford,CLE,RB,136.00,123.70,104.33,137.80,5.61,14.27,Ques,Personal
115,Cole Kmet,CHI,TE,116.00,124.10,97.33,109.30,6.93,12.33,,
146,Adonai Mitchell,IND,WR,154.00,125.10,41.41,101.70,5.14,4.26,,
118,Tyler Lockett,SEA,WR,119.00,125.20,135.00,147.90,5.13,24.94,,
131,Zach Charbonnet,SEA,RB,135.00,127.80,103.14,121.20,1.86,10.94,,
120,Chuba Hubbard,CAR,RB,122.00,128.60,122.57,146.40,5.30,7.49,,
121,Mike Williams,NYJ,WR,123.00,129.60,139.50,155.10,3.45,20.28,PUP-P,Knee - ACL
122,Jakobi Meyers,LV,WR,125.00,130.60,110.25,143.70,4.53,10.55,,
105,Matthew Stafford,LAR,QB,105.00,131.40,109.33,201.40,8.31,22.21,,
160,Aaron Rodgers,NYJ,QB,171.85,132.10,150.60,199.70,7.69,27.76,,
139,Curtis Samuel,BUF,WR,143.00,133.90,114.89,169.30,5.19,8.53,,
148,Khalil Shakir,BUF,WR,156.00,134.20,94.30,142.20,5.01,6.08,,
136,Jerry Jeudy,CLE,WR,140.00,135.00,125.33,131.20,3.92,27.00,Ques,Leg
147,Joshua Palmer,LAC,WR,155.00,136.10,92.00,170.20,5.05,10.72,,
140,Kendre Miller,NO,RB,144.00,137.10,104.33,129.70,1.95,8.13,Ques,Hamstring
141,Rashid Shaheed,NO,WR,147.00,138.70,135.00,150.80,3.58,7.37,,
150,Luke Musgrave,GB,TE,158.00,139.20,170.60,141.00,1.51,6.58,,
199,Xavier Legette,CAR,WR,213.00,140.70,40.05,104.70,5.61,3.64,,
195,Jaylen Wright,MIA,RB,208.00,141.10,52.88,134.90,4.48,3.20,,
138,Rico Dowdle,DAL,RB,142.00,142.00,112.38,197.80,3.79,6.76,,
102,Kirk Cousins,ATL,QB,102.00,143.50,113.86,184.00,7.46,26.95,,
166,Taysom Hill,NO,TE,177.00,143.90,236.40,190.90,1.71,7.64,,
149,J.K. Dobbins,LAC,RB,157.00,145.90,124.75,152.30,7.10,17.24,,
176,MarShawn Lloyd,GB,RB,187.00,146.40,44.54,134.20,5.13,3.07,Ques,Hip
137,Brandin Cooks,DAL,WR,141.00,147.10,163.17,175.00,5.21,14.86,,
145,Ricky Pearsall,SF,WR,153.00,148.50,41.87,111.50,6.25,2.67,NFI-A,Hamstring
142,Josh Downs,IND,WR,148.00,149.10,-,128.60,1.58,7.08,,
168,Ben Sinnott,WAS,TE,179.00,150.50,54.85,136.60,6.28,2.50,,
134,Ty Chandler,MIN,RB,138.00,151.50,125.83,172.80,3.45,8.32,,
155,Cade Otton,TB,TE,163.00,152.40,129.00,173.00,1.95,5.41,,
189,Troy Franklin,DEN,WR,200.00,152.50,54.28,127.80,2.59,3.45,,
144,Antonio Gibson,NE,RB,151.00,154.60,134.71,165.00,3.39,17.62,,
135,Tyler Allgeier,ATL,RB,139.00,155.70,128.25,151.80,3.84,10.44,,
174,Quentin Johnston,LAC,WR,184.00,156.20,-,140.10,1.61,10.49,,
124,Gabe Davis,JAX,WR,127.00,157.50,-,143.70,2.75,16.50,,
172,Deshaun Watson,CLE,QB,182.39,160.50,119.29,188.80,7.77,23.71,,
161,Jaleel McLaughlin,DEN,RB,172.00,161.10,113.71,189.00,7.65,10.81,,
T280,Ray Davis,BUF,RB,-,163.40,61.64,179.80,2.97,2.63,,
225,Isaiah Likely,BAL,TE,240.00,164.50,95.14,138.20,1.96,8.24,,
198,Roman Wilson,PIT,WR,212.00,165.60,43.52,130.90,3.82,2.40,,
171,Adam Thielen,CAR,WR,182.00,167.20,-,208.10,5.64,11.17,,
163,Michael Wilson,ARI,WR,173.00,168.80,-,164.90,1.19,7.27,,
143,Jahan Dotson,WAS,WR,150.00,169.40,-,139.40,1.86,12.24,,
192,Darnell Mooney,ATL,WR,204.00,170.10,-,160.90,4.02,7.00,,
202,Will Levis,TEN,QB,215.47,170.20,124.00,214.70,4.23,9.26,,
T280,Kimani Vidal,LAC,RB,-,172.60,70.65,174.20,2.70,1.00,,
170,Dontayvion Wicks,GB,WR,181.00,173.10,98.00,161.00,5.91,6.63,,
156,Marvin Mims,DEN,WR,167.00,174.70,121.00,161.70,,6.79,,
177,Jermaine Burton,CIN,WR,188.00,175.00,54.62,154.20,3.19,2.50,,
159,Baker Mayfield,TB,QB,169.97,176.40,97.50,193.00,7.95,13.95,,
154,Hunter Henry,NE,TE,162.00,177.70,149.67,213.50,3.07,6.73,,
229,Tyler Conklin,NYJ,TE,244.00,178.00,160.80,298.90,4.14,6.67,,
241,Malachi Corley,NYJ,WR,257.00,179.50,61.28,148.80,2.71,2.39,,
153,Ja'Lynn Polk,NE,WR,161.00,179.80,51.87,133.60,5.02,3.95,,
T280,Tyrone Tracy,NYG,RB,-,181.40,70.95,191.80,2.23,,,
133,Khalil Herbert,CHI,RB,137.00,182.20,160.60,197.00,1.74,16.92,,
210,Braelon Allen,NYJ,RB,224.00,183.20,79.65,158.10,2.48,4.21,,
209,J.J. McCarthy,MIN,QB,223.69,184.50,31.32,123.80,15.48,4.62,,
162,Geno Smith,SEA,QB,172.05,185.10,150.40,316.30,4.68,19.09,,
158,Justin Tucker,BAL,K,169.00,186.70,102.25,177.40,,11.46,,
182,Harrison Butker,KC,K,194.00,187.60,108.38,178.00,,8.04,,
232,Justin Fields,PIT,QB,247.00,188.40,-,204.00,3.54,45.41,,
T280,Bucky Irving,TB,RB,-,190.10,62.41,166.00,1.93,3.12,,
258,Tank Bigsby,JAX,RB,277.00,191.90,-,205.30,,8.28,,
218,Clyde Edwards-Helaire,KC,RB,233.00,192.10,144.71,233.40,2.36,6.45,,
157,Elijah Mitchell,SF,RB,168.00,193.00,-,238.20,2.65,9.85,,
165,Brandon Aubrey,DAL,K,176.00,194.70,81.56,181.70,1.97,5.47,,
221,Evan McPherson,CIN,K,236.00,195.20,125.33,182.90,,6.57,,
194,Jake Moody,SF,K,206.00,196.70,130.86,222.80,,5.58,,
151,Roschon Johnson,CHI,RB,159.00,197.30,-,159.90,1.91,9.37,,
237,Audric Estime,DEN,RB,252.00,197.50,74.68,167.20,1.86,3.37,,
169,Dameon Pierce,HOU,RB,180.00,199.00,-,170.50,2.64,30.39,,
197,Alexander Mattison,LV,RB,211.00,203.50,-,210.40,2.85,19.31,,
183,Jake Elliott,PHI,K,195.00,205.70,115.14,187.20,1.68,5.93,,
196,Younghoe Koo,ATL,K,209.00,206.20,129.14,221.10,,6.71,,
188,DeMario Douglas,NE,WR,199.00,208.00,111.17,156.80,4.13,5.56,Ques,Hand
207,Drake Maye,NE,QB,221.00,210.40,28.57,179.80,14.63,7.51,,
273,Mike Gesicki,CIN,TE,293.00,211.50,148.20,244.10,2.26,9.14,,
230,Ja'Tavion Sanders,CAR,TE,245.00,212.50,68.50,149.60,2.00,3.12,,
184,Derek Carr,NO,QB,195.97,214.00,148.83,329.00,6.10,22.45,,
186,Tyler Bass,BUF,K,197.00,215.20,111.00,192.00,,6.87,,
228,Noah Fant,SEA,TE,243.00,215.90,-,242.90,2.43,9.20,,
263,Demarcus Robinson,LAR,WR,282.00,217.40,159.20,268.00,2.16,5.00,,
178,Rashod Bateman,BAL,WR,189.00,218.00,150.80,200.40,3.10,11.20,,
190,Wan'Dale Robinson,NYG,WR,201.00,219.50,170.00,215.70,1.98,7.56,,
200,Ka'imi Fairbairn,HOU,K,214.00,220.50,116.40,231.20,1.45,12.00,,
173,Jason Sanders,MIA,K,183.00,221.90,132.43,241.60,,5.85,,
180,Chigoziem Okonkwo,TEN,TE,191.00,222.70,183.00,202.90,2.26,8.86,,
T280,Jonnu Smith,MIA,TE,-,223.20,-,310.00,5.70,6.00,,
T280,Luke McCaffrey,WAS,WR,-,224.10,56.72,152.70,2.32,3.00,,
T280,Colby Parkinson,LAR,TE,-,224.20,-,299.80,3.51,,,
204,Bryce Young,CAR,QB,217.00,226.60,140.20,186.80,3.49,15.61,,
208,Cameron Dicker,LAC,K,222.00,227.90,100.75,203.70,,5.20,,
236,Bo Nix,DEN,QB,251.00,228.90,34.55,185.40,10.53,4.60,,
212,Russell Wilson,PIT,QB,226.00,230.70,156.00,257.70,6.41,25.88,Ques,Calf
164,Daniel Jones,NYG,QB,174.00,231.00,145.50,323.60,5.58,22.84,,
223,Odell Beckham,MIA,WR,238.00,232.80,-,215.70,2.00,8.28,PUP-P,Undisclosed
167,Keaton Mitchell,BAL,RB,178.00,233.30,-,168.10,1.86,10.30,PUP-P,Knee - ACL
262,Brenden Rice,LAC,WR,281.00,233.70,103.90,176.40,1.10,2.80,,
152,Juwan Johnson,NO,TE,160.00,235.70,-,256.30,1.79,7.56,PUP-P,Foot
266,Greg Dulcich,DEN,TE,285.00,236.00,-,249.40,2.07,7.69,,
175,Tucker Kraft,GB,TE,186.00,237.40,-,211.10,1.08,5.82,PUP-P,Pectoral
235,D'Onta Foreman,CLE,RB,250.00,241.40,-,287.80,3.98,9.05,,
216,Darius Slayton,NYG,WR,230.00,242.20,-,271.00,1.81,7.25,,
T280,Greg Dortch,ARI,WR,-,244.30,-,265.60,1.37,5.00,,
253,Will Shipley,PHI,RB,271.00,245.00,77.50,194.50,1.48,2.83,,
224,Rondale Moore,ATL,WR,239.00,247.30,-,226.20,1.54,7.00,,
T280,Jalen Tolbert,DAL,WR,-,249.60,-,276.00,,,,
T280,Tristan Vizcaino,FA,K,-,250.80,-,-,,,,
T280,Dylan Laube,LV,RB,-,251.00,122.80,230.10,1.79,2.50,,
T280,Gardner Minshew,LV,QB,-,251.40,127.00,332.00,3.46,9.19,,
256,Devontez Walker,BAL,WR,275.00,253.80,101.31,196.90,1.78,3.06,,
247,Jalen McMillan,TB,WR,264.00,254.20,93.75,163.40,2.21,2.17,,
179,AJ Dillon,GB,RB,190.00,255.60,-,209.80,1.76,20.83,,
T280,Hayden Hurst,LAC,TE,-,256.80,-,401.50,1.21,8.20,,
234,DJ Chark,LAC,WR,249.00,257.80,-,272.60,2.11,7.70,,
274,Daniel Carlson,LV,K,295.00,258.40,-,287.90,,7.16,,
T280,Isaac Guerendo,SF,RB,-,259.80,100.00,195.30,1.47,1.00,Ques,Hamstring
T280,Zach Ertz,WAS,TE,-,261.00,-,367.00,2.08,8.00,,
T280,Theo Johnson,NYG,TE,-,262.00,77.00,206.80,2.57,,PUP-P,Hip
T280,Javon Baker,NE,WR,-,263.40,70.40,157.20,2.42,1.00,,
T280,Jelani Woods,IND,TE,-,264.50,-,224.60,0.98,2.00,,
244,Dawson Knox,BUF,TE,260.00,265.00,-,218.70,1.85,8.00,,
T280,Trey Sermon,IND,RB,-,266.70,-,334.00,2.42,,,
206,Jalin Hyatt,NYG,WR,220.00,267.10,-,206.30,,7.79,,
187,Miles Sanders,CAR,RB,198.00,268.30,-,260.10,2.11,33.26,Ques,Heel
191,Zay Jones,ARI,WR,203.00,269.50,-,233.30,1.71,8.33,,
181,Michael Mayer,LV,TE,192.00,271.20,-,212.60,1.32,7.71,,
T280,Daniel Bellinger,NYG,TE,-,272.80,-,303.00,1.76,,,
T280,Kendrick Bourne,NE,WR,-,273.80,188.00,326.30,1.21,5.50,PUP-P,Knee - ACL
T280,Chase Claypool,BUF,WR,-,274.00,-,278.40,0.98,7.50,,
T280,Michael Penix,ATL,QB,-,277.50,40.48,183.60,6.71,4.54,,
T280,Sam Darnold,MIN,QB,-,278.00,142.60,385.00,3.12,5.00,,
220,Samaje Perine,DEN,RB,235.00,278.50,-,314.30,1.37,9.82,,
239,Jason Myers,SEA,K,254.00,280.00,154.43,357.00,,5.60,,
205,Dustin Hopkins,CLE,K,219.00,283.00,181.17,-,,5.00,,
279,Michael Badgley,DET,K,"1,202.60",284.50,141.62,-,0.99,,IR,Hamstring
217,Gerald Everett,CHI,TE,232.00,286.50,-,353.50,0.86,7.32,,
242,K.J. Osborn,NE,WR,258.00,287.00,-,280.50,2.66,7.06,,
T280,Tyler Boyd,TEN,WR,-,288.00,-,243.00,2.73,8.58,,
268,A.T. Perry,NO,WR,287.00,289.50,-,262.20,1.27,5.50,,
T280,Deneric Prince,KC,RB,-,290.00,-,-,,,,
249,Isaiah Spiller,LAC,RB,266.00,291.00,-,325.00,,6.00,,
T280,Aidan O'Connell,LV,QB,-,292.00,-,383.00,4.31,7.68,,
T280,Devaughn Vele,DEN,WR,-,293.00,-,-,,,,
193,Kenneth Gainwell,PHI,RB,205.00,294.00,213.20,251.80,2.05,8.67,,
T280,Tom Brady,FA,QB,-,296.00,-,348.00,,,,
T280,Brock Wright,DET,TE,-,297.00,-,-,,,,
T280,Craig Reynolds,DET,RB,-,298.50,-,-,,8.00,,
231,Matt Gay,IND,K,246.00,299.00,131.33,318.90,,5.68,,
T280,Chase McLaughlin,TB,K,-,300.50,202.60,-,,7.67,,
T280,Jake Bates,DET,K,-,301.00,-,-,,,,
203,Jamaal Williams,NO,RB,216.00,303.00,-,251.90,1.11,18.45,,
T280,Brandon McManus,FA,K,-,304.00,-,-,,6.31,,
T280,Braxton Berrios,MIA,WR,-,306.00,-,-,,5.00,,
T280,Frank Gore,BUF,RB,-,307.00,-,237.40,,,,
T280,Cordarrelle Patterson,PIT,RB,-,308.00,-,-,0.93,9.75,NFI-A,Hamstring
T280,Eric Gray,NYG,RB,-,309.00,-,336.00,1.30,5.00,,
T280,Chris Rodriguez,WAS,RB,-,310.10,-,291.00,,5.00,,
185,Elijah Moore,CLE,WR,196.00,311.00,-,250.90,2.09,11.22,,
T280,Noah Gindorff,FA,TE,-,312.00,-,-,,,,
271,Deuce Vaughn,DAL,RB,290.00,313.00,-,254.90,,7.67,,
T280,Casey Washington,ATL,WR,-,314.00,-,-,1.03,,,
T280,Hendon Hooker,DET,QB,-,315.00,-,393.00,,3.20,,
T280,Rasheen Ali,BAL,RB,-,316.00,117.36,232.30,2.03,3.00,,
248,Josh Reynolds,DEN,WR,265.00,317.00,-,322.70,1.05,6.14,,
T280,Bo Melton,GB,WR,-,318.00,-,340.00,0.72,,,
T280,Jared Wiley,KC,TE,-,319.20,86.50,239.20,2.74,1.00,,
T280,Darren Waller,FA,TE,-,320.00,-,309.70,1.27,29.41,,
T280,Shaquil Barrett,FA,LB,-,-,-,-,,,,
T280,Joe Horn,FA,WR,-,-,-,-,,,,
T280,Brandon Cottom,FA,FB,-,-,-,-,,,,
T280,Derek Watt,FA,FB,-,-,-,-,,,,
T280,C.J. Anderson,FA,RB,-,-,-,-,,,,
T280,Ha Ha Clinton-Dix,FA,S,-,-,-,-,,,,
T280,Alex Tanney,FA,QB,-,-,-,-,,,,
T280,Cameron Malveaux,FA,DE,-,-,-,-,,,,
T280,Gehrig Dieter,FA,WR,-,-,-,-,,,,
T280,Chase Allen,FA,LB,-,-,-,-,,,Ques,Undisclosed
T280,Duke Johnson,FA,RB,-,-,-,-,,,,
T280,Austin Appleby,FA,QB,-,-,-,-,,,,
T280,Mike Davis,FA,RB,-,-,-,-,,,,
T280,Jordan Johnson,FA,RB,-,-,-,-,,,,
T280,Chris Brown,FA,WR,-,-,-,-,,,,
T280,Ryan Switzer,FA,WR,-,-,-,-,,,,
T280,Jake Butt,FA,TE,-,-,-,-,,,,
T280,J.T. Barrett,FA,QB,-,-,-,-,,,,
T280,Davis Webb,FA,QB,-,-,-,-,,,,
T280,Shelton Gibson,FA,WR,-,-,-,-,,,,
T280,Rashard Higgins,FA,WR,-,-,-,-,,,,
T280,Alex Collins,FA,RB,-,-,-,-,,,,
T280,Brian Brown,FA,WR,-,-,-,-,,,,
T280,Taylor Gabriel,FA,WR,-,-,-,-,,,,
