Rank,Name,Team,Pos,Fantrax,Sleeper,MFL,Sleeper,MFL,Ottoneu,Status,Injury
T280,Dominick Blaylock,FA,WR,-,-,-,-,,,,
T280,Jalen Cropper,FA,WR,-,-,-,-,,,,
T280,Mason Fairchild,FA,TE,-,-,-,-,,,,
T280,Nick Grant,FA,CB,-,-,-,-,,,,
T280,John Matocha,FA,QB,-,-,-,-,,,,
T280,Spencer Sanders,FA,QB,-,-,-,-,,,,
T280,Mike Nugent,FA,K,-,-,-,-,,,,
T280,Darren Sproles,FA,RB,-,-,-,-,,,,
T280,Stephen Gostkowski,FA,K,-,-,-,377.00,,,,
T280,Nick Folk,TEN,K,-,-,-,-,,5.94,,
T280,Al Woods,FA,DT,-,-,-,-,,,Ques,Achilles
T280,Virgil Green,FA,TE,-,-,-,-,,,Ques,Ankle
T280,Colin Kaepernick,FA,QB,-,-,-,-,,,,
T280,Tyson Alualu,FA,DT,-,-,-,-,,,,
T280,Dwayne Harris,FA,WR,-,-,-,-,,,Ques,Triceps
T280,Bruce Miller,FA,FB,-,-,-,-,,,,
T280,Andre Roberts,FA,WR,-,-,-,-,,,,
T280,Kai Forbath,FA,K,-,-,-,-,,,,
T280,Adrian Clayborn,FA,DE,-,-,-,-,,,,
T280,Richard Sherman,FA,CB,-,-,-,-,,,,
T280,Dan Bailey,FA,K,-,-,-,-,,,,
T280,Corey Peters,FA,DT,-,-,-,-,,,,
T280,Luke Stocker,FA,TE,-,-,-,-,,,,
T280,Brandon Graham,PHI,DE,-,-,-,-,,,,
T280,Case Keenum,HOU,QB,-,-,-,-,,,,
T280,Andrew Sendejo,FA,S,-,-,-,-,,,,
T280,Anthony Levine,FA,S,-,-,-,-,,,,
T280,Cam Newton,FA,QB,-,-,-,-,,,,
T280,Ryan Tannehill,FA,QB,-,-,-,-,,15.00,,
T280,Rob Gronkowski,FA,TE,-,-,-,-,,,,
T280,Chris Harris,FA,CB,-,-,-,-,,,,
T280,Alfred Morris,FA,RB,-,-,-,-,,,,
T280,Nick Bellore,FA,LB,-,-,-,-,,,,
T280,Taiwan Jones,FA,RB,-,-,-,-,,,,
T280,Carlos Dunlap,FA,DE,-,-,-,-,,,,
T280,Dez Bryant,FA,WR,-,-,-,-,,,,
T280,Cameron Heyward,PIT,DE,-,-,-,-,1.96,,,
T280,Eric Wallace,FA,TE,-,-,-,-,,,,
T280,Malcolm Smith,FA,LB,-,-,-,-,,,,
T280,Dontrelle Inman,FA,WR,-,-,-,-,,,,
T280,Tyrod Taylor,NYJ,QB,-,-,-,-,,8.50,,
T280,Kareem Jackson,FA,S,-,-,-,-,,,,
T280,Harrison Smith,MIN,S,-,-,-,-,,,,
T280,Golden Tate,FA,WR,-,-,-,-,,,,
T280,Charles Clay,FA,TE,-,-,-,-,,,,
T280,Demario Davis,NO,LB,-,-,-,-,4.09,,,
T280,Drew Brees,FA,QB,-,-,-,419.00,,,,
T280,Josh McCown,FA,QB,-,-,-,-,,,,
T280,Frank Gore,FA,RB,-,-,-,-,,,,
T280,Jay Cutler,FA,QB,-,-,-,-,,,,
T280,Ryan Fitzpatrick,FA,QB,-,-,-,-,,,,
T280,Robbie Gould,FA,K,-,-,-,-,,,,
T280,Matt Bryant,FA,K,-,-,-,-,,,,
T280,Jason Witten,FA,TE,-,-,-,-,,,,
T280,Vernon Davis,FA,TE,-,-,-,-,,,,
T280,Drew Stanton,FA,QB,-,-,-,-,,,,
T280,Matt Ryan,FA,QB,-,-,-,-,,,,
T280,Alex Smith,FA,QB,-,-,-,380.00,,,,
T280,Delanie Walker,FA,TE,-,-,-,-,,,,
T280,Larry Fitzgerald,FA,WR,-,-,-,-,,,,
T280,Philip Rivers,FA,QB,-,-,-,-,,,,
T280,Ben Roethlisberger,FA,QB,-,-,-,371.00,,,,
T280,Ben Watson,FA,TE,-,-,-,-,,,,
T280,Matt Schaub,FA,QB,-,-,-,-,,,,
T280,Ted Ginn,FA,WR,-,-,-,-,,,,
T280,Danny Amendola,FA,WR,-,-,-,-,,,,
T280,Jerod Mayo,FA,LB,-,-,-,-,,,,
T280,Marshawn Lynch,FA,RB,-,-,-,-,,,,
T280,Dominique Rodgers-Cromartie,FA,CB,-,-,-,-,,,,
T280,Michael Bennett,FA,DE,-,-,-,-,,,,
T280,Mike Thomas,FA,WR,-,-,-,-,,,,
T280,Chase Daniel,FA,QB,-,-,-,-,,,,
T280,Logan Paulsen,FA,TE,-,-,-,-,,,,
T280,DeSean Jackson,FA,WR,-,-,-,-,,,,
T280,Devin McCourty,FA,S,-,-,-,-,,,,
T280,Emmanuel Sanders,FA,WR,-,-,-,-,,,,
T280,Michael Crabtree,FA,WR,-,-,-,-,,,,
T280,Lance Kendricks,FA,TE,-,-,-,-,,,,
T280,Lee Smith,FA,TE,-,-,-,-,,,,
T280,Julian Edelman,FA,WR,-,-,-,379.00,,,,
T280,James Develin,FA,FB,-,-,-,-,,,,
T280,LeSean McCoy,FA,RB,-,-,-,-,,,,
T280,Rhett Ellison,FA,TE,-,-,-,-,,,,
T280,Sam Acho,FA,LB,-,-,-,-,,,,
T280,K.J. Wright,FA,LB,-,-,-,-,,,,
T280,Ryan Kerrigan,FA,DE,-,-,-,-,,,,
T280,Anthony Sherman,FA,FB,-,-,-,-,,,,
T280,Robert Turbin,FA,RB,-,-,-,-,,,,
T280,Garrett Celek,FA,TE,-,-,-,-,,,,
T280,J.J. Watt,FA,DE,-,-,-,-,,,,
T280,Stephen Hauschka,FA,K,-,-,-,-,,,,
T280,Robert Griffin,FA,QB,-,-,-,-,,,,
T280,A.J. Green,FA,WR,-,-,-,-,,,,
T280,Jermaine Kearse,FA,WR,-,-,-,-,,,,
T280,Chris Banjo,FA,S,-,-,-,-,,,,
T280,Zach Line,FA,FB,-,-,-,-,,,,
T280,Jarius Wright,FA,WR,-,-,-,-,,,,
T280,Ryan Griffin,FA,QB,-,-,-,-,,,,
T280,Rashaan Melvin,FA,CB,-,-,-,-,,,,
T280,Kyle Rudolph,FA,TE,-,-,-,-,,,,
T280,Jack Doyle,FA,TE,-,-,-,-,,,,
T280,Russell Shepard,FA,WR,-,-,-,-,,,,
T280,Vance McDonald,FA,TE,-,-,-,-,,,,
T280,Michael Brockers,FA,DT,-,-,-,-,,,,
T280,Brandon Copeland,FA,LB,-,-,-,-,,,,
T280,Alshon Jeffery,FA,WR,-,-,-,-,,,,
T280,Jordan Reed,FA,TE,-,-,-,-,,,,
T280,Theo Riddick,FA,RB,-,-,-,-,,,,
T280,Uzoma Nwachukwu,FA,WR,-,-,-,-,,,,
T280,David Fales,FA,QB,-,-,-,-,,,,
T280,Jamie Collins,FA,LB,-,-,-,-,,,,
T280,Quincy Enunwa,FA,WR,-,-,-,-,,,,
T280,Giovani Bernard,FA,RB,-,-,-,-,,,,
T280,Christian Kirksey,FA,LB,-,-,-,-,,,,
T280,Josh Bellamy,FA,WR,-,-,-,-,,,,
T280,James White,FA,RB,-,-,-,-,,,,
T280,Chris Hogan,FA,WR,-,-,-,-,,,,
T280,Jay Ajayi,FA,RB,-,-,-,-,,,,
T280,Alex Gray,FA,TE,-,-,-,-,,,,
T280,Benson Mayowa,FA,DE,-,-,-,-,,,,
T280,Tyrann Mathieu,NO,S,-,-,-,-,1.26,,,
T280,Spencer Ware,FA,RB,-,-,-,-,,,,
T280,Brad Wing,FA,P,-,-,-,-,,,,
T280,Lavonte David,TB,LB,-,-,-,-,6.32,,,
T280,Allen Hurns,FA,WR,-,-,-,-,,,Ques,Wrist
T280,Jake Heaps,FA,QB,-,-,-,-,,,,
T280,Kyle Van Noy,BAL,LB,-,-,-,-,,,,
T280,Kevin Pierre-Louis,FA,LB,-,-,-,-,,,Ques,Groin
T280,Trey Burton,FA,TE,-,-,-,-,,,,
T280,Tyler Bray,FA,QB,-,-,-,-,,,,
T280,Rajion Neal,FA,RB,-,-,-,-,,,,
T280,Michael Palardy,FA,P,-,-,-,-,,,,
T280,Blake Bell,FA,TE,-,-,-,-,,,,
T280,Tony Jefferson,LAC,S,-,-,-,-,,,,
T280,Trey Millard,FA,FB,-,-,-,-,,,,
T280,Kenny Stills,FA,WR,-,-,-,-,,,,
T280,Le'Veon Bell,FA,RB,-,-,-,-,,,,
T280,Dres Anderson,FA,WR,-,-,-,-,,,,
T280,Carlos Hyde,FA,RB,-,-,-,-,,,,
T280,TJ Jones,FA,WR,-,-,-,-,,,,
T280,Terrance Mitchell,FA,CB,-,-,-,-,,,,
T280,Trevor Siemian,FA,QB,-,-,-,-,,5.00,,
245,Cairo Santos,CHI,K,261.00,-,213.80,338.50,2.14,10.00,,
T280,Roosevelt Nix,FA,FB,-,-,-,-,,,,
T280,Jamel Johnson,FA,WR,-,-,-,-,,,,
T280,Bryce Callahan,FA,CB,-,-,-,-,,,,
T280,David Johnson,FA,RB,-,-,-,-,,,,
T280,Xavier Williams,FA,DT,-,-,-,-,,,,
T280,MyCole Pruitt,PIT,TE,-,-,-,-,,,,
T280,Cameron Brate,FA,TE,-,-,-,-,,,,
T280,Henry Anderson,FA,DE,-,-,-,-,,,Ques,Foot
T280,Anthony Barr,FA,LB,-,-,-,-,,,,
T280,Eric Kendricks,DAL,LB,-,-,-,-,5.06,,,
T280,Christian Jones,FA,LB,-,-,-,-,,,,
T280,Lamarcus Joyner,FA,S,-,-,-,-,,,Ques,Hip
T280,Jeremiah Attaochu,FA,LB,-,-,-,-,,,,
T280,Kyle Fuller,FA,CB,-,-,-,-,,,Ques,Knee - ACL
T280,Carl Davis,DAL,DT,-,-,-,-,,,,
T280,Johnathan Hankins,SEA,DT,-,-,-,-,,,,
T280,Bradley Roby,FA,CB,-,-,-,-,,,,
T280,Senorise Perry,FA,RB,-,-,-,-,,,,
T280,Aaron Donald,FA,DT,-,-,-,-,,,,
T280,K'Waun Williams,FA,CB,-,-,-,-,,,,
T280,Eric Tomlinson,IND,TE,-,-,-,-,,,,
T280,Jimmy Garoppolo,LAR,QB,-,-,-,-,,9.50,Reserve-Sus,Suspension
T280,Malcolm Johnson,FA,FB,-,-,-,-,,,,
T280,Jordan Matthews,CAR,TE,-,-,-,-,,,,
T280,Xavier Grimble,FA,TE,-,-,-,-,,,,
T280,Nickell Robey-Coleman,FA,CB,-,-,-,-,,,,
T280,Soma Vainuku,FA,FB,-,-,-,-,,,,
269,Robert Woods,HOU,WR,288.00,-,-,-,,9.00,,
T280,Jordan Hicks,CLE,LB,-,-,-,-,5.18,,,
T280,Adrian Phillips,FA,S,-,-,-,-,,,,
T280,Jake McGee,FA,TE,-,-,-,-,,,,
T280,Bruce Irvin,FA,LB,-,-,-,-,,,,
T280,Michael Burton,DEN,FB,-,-,-,-,,,,
T280,Albert Wilson,FA,WR,-,-,-,-,,,,
T280,Cody Parkey,FA,K,-,-,-,-,,,,
T280,C.J. Mosley,NYJ,LB,-,-,-,-,,,,
T280,Blake Sims,FA,RB,-,-,-,-,,,,
T280,DeAndrew White,FA,WR,-,-,-,-,,,Ques,Undisclosed
T280,Bryan Anger,DAL,P,-,-,-,-,,,,
T280,Marcus Gilchrist,FA,S,-,-,-,-,,,,
T280,Cameron Jordan,NO,DE,-,-,-,-,,,,
T280,Josh Bynes,FA,LB,-,-,-,-,,,,
T280,Linval Joseph,FA,DT,-,-,-,-,,,,
T280,Bilal Powell,FA,RB,-,-,-,-,,,,
T280,Nick Foles,FA,QB,-,-,-,-,,,,
T280,Terrell McClain,FA,DT,-,-,-,-,,,,
T280,Chris Jones,FA,P,-,-,-,-,,,Ques,Abdomen
T280,Antonio Brown,FA,WR,-,-,-,-,,,,
T280,Prince Amukamara,FA,CB,-,-,-,-,,,,
T280,Melvin Ingram,FA,LB,-,-,-,-,,,,
T280,Patrick DiMarco,FA,FB,-,-,-,-,,,,
T280,Vinny Curry,FA,DE,-,-,-,-,,,,
T280,Justin Houston,FA,LB,-,-,-,-,,,,
T280,Von Miller,BUF,DE,-,-,-,-,,,,
T280,Tress Way,WAS,P,-,-,-,-,,,,
T280,Marcedes Lewis,CHI,TE,-,-,-,-,,,,
T280,Matt Moore,FA,QB,-,-,-,-,,,,
T280,Mason Crosby,FA,K,-,-,-,-,,25.00,,
T280,Joe Flacco,IND,QB,-,-,-,333.00,1.02,6.45,,
T280,Matt Prater,ARI,K,-,-,-,-,,,,
T280,Chris Williams,FA,OG,-,-,-,-,,,,
T280,Matthew Slater,FA,WR,-,-,-,-,,,,
T280,Andy Lee,FA,P,-,-,-,-,,,,
T280,Brett Kern,FA,P,-,-,-,-,,,,
T280,Brian Hoyer,FA,QB,-,-,-,-,,,,
T280,Chad Henne,FA,QB,-,-,-,-,,,,
T280,Darren Fells,FA,TE,-,-,-,-,,,,
T280,Calais Campbell,MIA,DE,-,-,-,-,,,,
T280,Adrian Peterson,FA,RB,-,-,-,378.00,,,,
T280,Josh Johnson,BAL,QB,-,-,-,-,,,,
T280,Kevin Huber,FA,P,-,-,-,-,,,,
T280,Thomas Morstead,NYJ,P,-,-,-,-,,,,
T280,Steve McLendon,FA,DT,-,-,-,-,,,,
T280,Jimmy Graham,FA,TE,-,-,-,-,,,,
T280,Joe Webb,FA,WR,-,-,-,-,,,,
T280,Graham Gano,NYG,K,-,-,-,-,,6.25,,
T280,Jared Cook,FA,TE,-,-,-,-,,,,
T280,Ryan Succop,FA,K,-,-,-,-,,,,
T280,Jon Cooper,FA,C,-,-,-,-,,,,
T280,Ndamukong Suh,FA,DT,-,-,-,-,,,,
T280,Colt McCoy,FA,QB,-,-,-,-,,,,
T280,Andy Dalton,CAR,QB,-,-,-,-,,9.00,,
T280,Jerry Hughes,HOU,DE,-,-,-,-,,,,
T280,Colin Jones,FA,S,-,-,-,-,,,,
T280,Tim Tebow,FA,TE,-,-,-,-,,,,
T280,Janoris Jenkins,FA,CB,-,-,-,-,,,,
T280,Tashaun Gipson,FA,S,-,-,-,-,,,Reserve-Sus,Suspension
T280,Mark Ingram,FA,RB,-,-,-,-,,17.00,Ques,Knee - MCL
T280,Julio Jones,FA,WR,-,-,-,-,,,Ques,Concussion
T280,Kenjon Barner,FA,RB,-,-,-,-,,,,
T280,Johnny Hekker,CAR,P,-,-,-,-,,,,
T280,Nick Williams,FA,DT,-,-,-,-,,,Ques,Shoulder
T280,Cole Beasley,FA,WR,-,-,-,-,,,,
T280,Justin Bethel,FA,CB,-,-,-,-,,,,
T280,Lawrence Guy,FA,DE,-,-,-,-,,,,
T280,Michael Thomas,FA,S,-,-,-,-,,,,
T280,Cody Davis,FA,S,-,-,-,-,,,,
T280,Marvin Jones,FA,WR,-,-,-,-,,9.00,,
T280,Rodney McLeod,CLE,S,-,-,-,-,,,,
T280,Will Compton,FA,LB,-,-,-,-,,,,
T280,Brett Maher,FA,K,-,-,-,-,,7.33,,
T280,Lerentee McCray,FA,LB,-,-,-,-,,,,
T280,Blaine Gabbert,FA,QB,-,-,-,-,,5.00,,
T280,Aldon Smith,FA,DE,-,-,-,-,,,,
T280,Jaron Brown,FA,WR,-,-,-,-,,,,
T280,Daniel Sorensen,FA,S,-,-,-,-,,,,
T280,Robert Quinn,FA,DE,-,-,-,-,,,,
T280,Sam Martin,BUF,P,-,-,-,-,,,,
T280,Corey Liuget,FA,DT,-,-,-,-,,,,
T280,Mike Glennon,FA,QB,-,-,-,-,,,,
T280,Travis Benjamin,FA,WR,-,-,-,-,,,,
T280,Ryan Griffin,FA,TE,-,-,-,-,,,,
T280,Chandler Jones,FA,DE,-,-,-,-,,,Ques,Personal
T280,Damion Square,FA,DT,-,-,-,-,,,,
T280,Patrick Peterson,FA,CB,-,-,-,-,,,,
T280,Brandon Bolden,FA,RB,-,-,-,-,,,,
T280,Casey Hayward,FA,CB,-,-,-,-,,,,
T280,Randall Cobb,FA,WR,-,-,-,-,,,,
T280,Bobby Wagner,WAS,LB,-,-,-,-,7.63,,,
T280,Steven Means,FA,LB,-,-,-,-,,,Ques,Achilles
T280,Jahleel Addae,FA,S,-,-,-,-,,,,
T280,Latavius Murray,FA,RB,-,-,-,-,,5.14,,
T280,T.Y. Hilton,FA,WR,-,-,-,409.00,,,,
T280,Mario Addison,FA,DE,-,-,-,-,,,,
T280,T.J. Carrie,FA,CB,-,-,-,-,,,,
T280,Randy Bullock,FA,K,-,-,-,-,,,Ques,Hamstring
T280,Josh Hill,FA,TE,-,-,-,-,,,,
T280,Julian Stanford,FA,LB,-,-,-,-,,,,
T280,John Brown,FA,WR,-,-,-,-,,,,
T280,Josh Norman,FA,CB,-,-,-,-,,,,
T280,Mohamed Sanu,FA,WR,-,-,-,-,,,,
T280,Stephon Gilmore,FA,CB,-,-,-,-,,,Ques,Shoulder
T280,Matt Barkley,FA,QB,-,-,-,-,,,,
T280,Dion Lewis,FA,RB,-,-,-,-,,,,
T280,Zach Kerr,FA,DT,-,-,-,-,,,,
T280,Jon Bostic,FA,LB,-,-,-,-,,,Ques,Pectoral
T280,Mike Purcell,FA,DT,-,-,-,-,,,,
T280,Tavon Austin,FA,WR,-,-,-,-,,,,
T280,afdasdfsa afdsasdfa,FA,S,-,-,-,-,,,,
T280,Rory Anderson,FA,TE,-,-,-,-,,,,
T280,Mario Edwards Jr.,FA,DE,-,-,-,-,,,,
T280,Charlie Jones,FA,WR,-,-,-,-,,,,
T280,Antonio Pierce,FA,LB,-,-,-,-,,,,
T280,Adam Vinatieri,FA,K,-,-,-,-,,,,
T280,Dontae Johnson,FA,CB,-,-,-,-,,,,
T280,William Gholston,TB,DE,-,-,-,-,,,,
T280,J.J. Nelson,FA,WR,-,-,-,-,,,,
T280,Jimmie Ward,HOU,S,-,-,-,-,,,,
T280,Nick Dzubnar,FA,LB,-,-,-,-,,,,
T280,Sean Mannion,FA,QB,-,-,-,-,,,,
T280,Jake Kumerow,FA,WR,-,-,-,-,,,Ques,Back
T280,Geremy Davis,FA,WR,-,-,-,-,,,,
251,Greg Zuerlein,NYJ,K,268.00,-,203.50,308.00,,5.44,,
T280,Algernon Brown,FA,FB,-,-,-,-,,,,
T280,Keith Smith,FA,FB,-,-,-,-,,,Ques,Ankle
T280,David Fluellen,FA,RB,-,-,-,-,,,,
T280,Jamize Olawale,FA,FB,-,-,-,-,,,,
T280,Paul Richardson,FA,WR,-,-,-,-,,,,
T280,Jarvis Landry,FA,WR,-,-,-,-,,,,
T280,Justin Coleman,FA,CB,-,-,-,-,,,,
T280,Brett Hundley,FA,QB,-,-,-,-,,,,
T280,Quandre Diggs,FA,S,-,-,-,-,,,,
T280,Ameer Abdullah,LV,RB,-,-,-,-,,5.00,,
T280,Willie Snead,FA,WR,-,-,-,-,,,,
T280,Titus Davis,FA,WR,-,-,-,-,,,,
T280,Kevin Byard,CHI,S,-,-,-,-,,,,
T280,Chris Conley,SF,WR,-,-,-,-,,,,
T280,DaQuan Jones,BUF,DT,-,-,-,-,,,,
T280,Dean Marlowe,FA,S,-,-,-,-,,,,
T280,Daniel Brown,FA,TE,-,-,-,-,,,Ques,Hip
T280,Tyeler Davison,FA,DT,-,-,-,-,,,,
T280,Blake Bortles,FA,QB,-,-,-,-,,,,
T280,Diontae Spencer,FA,WR,-,-,-,-,,,Ques,Undisclosed
T280,Chris Manhertz,NYG,TE,-,-,-,-,,,,
T280,Joe Thomas,FA,LB,-,-,-,-,,,,
219,Jerick McKinnon,FA,RB,234.00,-,-,404.00,0.69,10.09,,
T280,Scott Simonson,FA,TE,-,-,-,-,,,,
T280,Mike Meyer,FA,K,-,-,-,-,,,,
T280,Zach Zenner,FA,RB,-,-,-,-,,,,
T280,Troy Hill,CAR,CB,-,-,-,-,,,,
T280,Xavier Rhodes,FA,CB,-,-,-,-,,,,
T280,Chris Thompson,FA,RB,-,-,-,-,,,,
T280,LaRoy Reynolds,FA,LB,-,-,-,-,,,,
T280,Brent Urban,BAL,DE,-,-,-,-,,,,
T280,Manti Te'o,FA,LB,-,-,-,-,,,,
T280,Justin Ellis,FA,DT,-,-,-,-,,,,
T280,Devon Kennard,FA,LB,-,-,-,-,,,,
T280,A.J. Klein,FA,LB,-,-,-,-,,,,
T280,Pat O'Donnell,FA,P,-,-,-,-,,,,
T280,Duron Harmon,FA,S,-,-,-,-,,,,
T280,Logan Ryan,FA,S,-,-,-,-,,,,
T280,Fletcher Cox,FA,DT,-,-,-,-,,,,
T280,Bradley McDougald,FA,S,-,-,-,-,,,,
T280,Ryan Grant,FA,WR,-,-,-,-,,,,
T280,Jordan Poyer,MIA,S,-,-,-,-,,,,
T280,Rex Burkhead,FA,RB,-,-,-,-,,,,
T280,Akiem Hicks,FA,DT,-,-,-,-,,,,
T280,Shelby Harris,CLE,DT,-,-,-,-,,,,
T280,Kyle Juszczyk,SF,FB,-,-,-,-,,,,
T280,Josh Mauro,FA,DE,-,-,-,-,,,,
T280,Levine Toilolo,FA,TE,-,-,-,-,,,Ques,Achilles
T280,Josh Gordon,FA,WR,-,-,-,-,,,,
T280,Jason Pierre-Paul,FA,LB,-,-,-,-,,,,
T280,Chris Boswell,PIT,K,-,-,-,372.00,,6.00,,
T280,Khalil Mack,LAC,LB,-,-,-,-,5.30,,,
T280,Garrett Gilbert,FA,QB,-,-,-,-,,,,
T280,Marquise Goodwin,FA,WR,-,-,-,-,,,,
T280,Logan Thomas,SF,TE,-,-,-,-,,6.64,,
T280,Daren Bates,FA,LB,-,-,-,-,,,,
T280,Akeem Spence,FA,DT,-,-,-,-,,,,
T280,Micah Hyde,FA,S,-,-,-,-,,,,
T280,AJ McCarron,FA,QB,-,-,-,-,,,,
T280,Lamar Miller,FA,RB,-,-,-,-,,,,
T280,Tyler Eifert,FA,TE,-,-,-,-,,,,
T280,Kerry Hyder,FA,DE,-,-,-,-,,,,
T280,Melvin Gordon,FA,RB,-,-,-,-,,,,
T280,Chris Moore,ARI,WR,-,-,-,-,,,,
T280,Andrew Adams,FA,S,-,-,-,-,,,,
T280,Elijhaa Penny,FA,FB,-,-,-,-,,,,
T280,Nick Kwiatkoski,FA,LB,-,-,-,-,,,,
T280,Jacoby Brissett,NE,QB,-,-,98.20,389.00,2.29,8.00,,
T280,Valdez Showers,FA,WR,-,-,-,-,,,,
T280,John Jenkins,LV,DT,-,-,-,-,,,,
T280,Bud Dupree,LAC,LB,-,-,-,-,,,,
T280,Woodrow Hamilton,FA,DT,-,-,-,-,,,,
T280,Donte Moncrief,FA,WR,-,-,-,-,,,Ques,Undisclosed
T280,Marvin Hall,FA,WR,-,-,-,-,,,,
T280,Stephen Anderson,FA,TE,-,-,-,-,,,,
T280,Richard Rodgers,FA,TE,-,-,-,-,,,Ques,Knee
T280,Brennan Scarlett,FA,LB,-,-,-,-,,,,
T280,Marcus Mariota,WAS,QB,-,-,-,-,1.27,11.25,,
T280,De'Anthony Thomas,FA,WR,-,-,-,-,,,,
T280,Cody Kessler,FA,QB,-,-,-,-,,,,
T280,Harvey Langi,FA,LB,-,-,-,-,,,,
T280,Jared Norris,FA,LB,-,-,-,-,,,Ques,Shoulder
T280,Eric Rowe,FA,S,-,-,-,-,,,,
T280,Teddy Bridgewater,FA,QB,-,-,-,-,,,,
T280,Jason Verrett,FA,CB,-,-,-,-,,,Ques,Shoulder
T280,Tyler Kroft,FA,TE,-,-,-,-,,,,
T280,Bobby McCain,FA,S,-,-,-,-,,,,
T280,Josh Doctson,FA,WR,-,-,-,-,,,,
T280,Eddie Yarbrough,FA,DE,-,-,-,-,,,,
T280,Jeff Driskel,WAS,QB,-,-,-,-,,,,
T280,Joel Stave,FA,QB,-,-,-,-,,,,
T280,Devonta Freeman,FA,RB,-,-,-,-,,,,
T280,Angelo Blackson,DEN,DE,-,-,-,-,,,,
T280,C.J. Uzomah,PHI,TE,-,-,-,-,,,,
T280,Shaq Hill,FA,WR,-,-,-,-,,,,
T280,Jeff Heuerman,FA,TE,-,-,-,-,,,,
T280,Patrick Onwuasor,FA,LB,-,-,-,-,,,,
T280,Taylor Bertolet,FA,K,-,-,-,-,,,,
T280,Deshazor Everett,FA,S,-,-,-,-,,,,
T280,DeAndre Houston-Carson,FA,S,-,-,-,-,,,,
T280,Phillip Dorsett,DEN,WR,-,-,-,-,,,,
T280,Alexander Johnson,FA,LB,-,-,-,-,,,Ques,Undisclosed
T280,Kevin Hogan,FA,QB,-,-,-,-,,,,
T280,Ty Montgomery,FA,RB,-,-,-,-,,,,
T280,James Vaughters,FA,LB,-,-,-,-,,,,
T280,Javorius Allen,FA,RB,-,-,-,-,,,,
T280,Marqise Lee,FA,WR,-,-,-,-,,,,
T280,Antwaun Woods,FA,DT,-,-,-,-,,,,
T280,Taylor Heinicke,ATL,QB,-,-,-,-,,5.00,,
T280,Jamison Crowder,WAS,WR,-,-,-,-,,,,
T280,Juston Burris,FA,S,-,-,-,-,,,,
T280,T.Y. McGill,SF,DT,-,-,-,-,,,,
T280,Gus Johnson,FA,RB,-,-,-,-,,,,
T280,Ross Travis,FA,TE,-,-,-,-,,,,
T280,Martavis Bryant,FA,WR,-,-,-,-,,,,
T280,Adam Humphries,FA,WR,-,-,-,-,,,,
T280,Grady Jarrett,ATL,DT,-,-,-,-,,,,
T280,Sammy Watkins,FA,WR,-,-,-,-,,,,
T280,DeShawn Williams,BUF,DT,-,-,-,-,,,,
240,DeVante Parker,FA,WR,255.00,-,-,-,,7.71,,
T280,Demetrius Harris,FA,TE,-,-,-,-,,,,
T280,Rakeem Nunez-Roches,NYG,DT,-,-,-,-,,,,
T280,Michael Pierce,BAL,DT,-,-,-,-,,,,
T280,Xavier Rush,FA,WR,-,-,-,-,,,,
T280,Justin March-Lillard,FA,LB,-,-,-,-,,,,
T280,Jamal Robinson,FA,WR,-,-,-,-,,,,
252,Tyler Higbee,LAR,TE,270.00,-,-,352.00,3.34,8.52,PUP-P,Knee - ACL + MCL
T280,Brandon Allen,SF,QB,-,-,-,-,,,,
T280,Trey Flowers,FA,LB,-,-,-,-,,,Ques,Foot
T280,Malcolm Brown,FA,RB,-,-,-,-,,,,
T280,Darius Slay,PHI,CB,-,-,-,-,,,,
T280,Preston Smith,GB,LB,-,-,-,-,,,,
T280,Marken Michel,FA,WR,-,-,-,-,,,,
T280,Damiere Byrd,WAS,WR,-,-,-,-,,,,
T280,Jadeveon Clowney,CAR,LB,-,-,-,-,1.64,,,
T280,Paul Quessenberry,FA,FB,-,-,-,-,,,,
T280,Xavien Howard,FA,CB,-,-,-,-,,,,
T280,C.J. Board,FA,WR,-,-,-,-,,,Ques,Ribs
T280,Deante Burton,FA,CB,-,-,-,-,,,,
T280,Amba Etta-Tawo,FA,WR,-,-,-,-,,,,
T280,Tevin Coleman,FA,RB,-,-,-,-,,,,
T280,Nate Sudfeld,DET,QB,-,-,-,-,,,,
T280,Jehu Chesson,FA,WR,-,-,-,-,,,,
T280,Devin Funchess,FA,TE,-,-,-,-,,,,
T280,Chris Wormley,FA,DE,-,-,-,-,,,,
T280,Darion Clark,FA,TE,-,-,-,-,,,,
T280,Haason Reddick,NYJ,DE,-,-,-,-,,,Reserve-DNR,Contract Dispute
T280,Devon Johnson,FA,FB,-,-,-,-,,,,
T280,Cody Hollister,FA,WR,-,-,-,-,,,Ques,Neck
T280,Jacob Hollister,FA,TE,-,-,-,-,,,Ques,Undisclosed
T280,Kenny Golladay,FA,WR,-,-,-,-,,7.00,,
T280,Romeo Okwara,FA,DE,-,-,-,-,,,,
T280,C.J. Prosise,FA,RB,-,-,-,-,,,,
T280,Austin Johnson,BUF,DT,-,-,-,-,,,,
T280,Austin Calitro,FA,LB,-,-,-,-,,,,
T280,Tanoh Kpassagnon,NO,DE,-,-,-,-,,,PUP-P,Achilles
T280,Mason Schreck,FA,TE,-,-,-,-,,,,
T280,Joe Bacci,FA,FB,-,-,-,-,,,,
T280,Cooper Rush,DAL,QB,-,-,-,-,,9.00,,
T280,Darius Jackson,FA,RB,-,-,-,-,,,,
