"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Michael Wilson","ARI","49.8","651.6","3.7","0.0","1.3","0.0","0.2","136.7"
"Josh Downs","IND","54.9","625.9","3.3","0.0","5.3","0.0","0.5","136.7"
"Adonai Mitchell","IND","48.6","656.6","3.8","0.7","4.8","0.0","0.8","135.8"
"Dontayvion Wicks","GB","46.1","615.4","4.8","0.3","3.8","0.0","0.5","135.6"
"Demarcus Robinson","LAR","45.8","587.1","4.4","0.3","7.8","0.0","0.6","130.4"
"Rashod Bateman","BAL","46.2","604.7","3.5","0.3","4.5","0.0","0.2","127.7"
"Xavier Legette","CAR","45.6","593.5","3.0","2.8","17.2","0.1","0.4","124.5"
"Darius Slayton","NYG","43.4","612.5","3.2","0.0","1.3","0.0","0.1","123.7"
"DJ Chark Jr.","LAC","39.1","560.6","4.7","0.0","1.8","0.0","0.5","122.8"
"Jalen McMillan","TB","43.8","523.8","3.3","0.7","7.5","0.0","0.8","115.3"
"Josh Reynolds","DEN","41.0","532.5","3.6","0.0","1.5","0.0","0.5","115.2"
"Tyler Boyd","TEN","47.4","512.3","2.5","1.3","7.6","0.0","0.5","113.5"
"Marvin Mims Jr.","DEN","41.2","541.1","2.6","3.9","23.5","0.1","0.3","113.5"
"Jalin Hyatt","NYG","43.2","539.7","2.5","0.0","1.0","0.0","0.3","111.9"
"Quentin Johnston","LAC","40.6","504.5","3.2","1.7","6.8","0.0","0.1","110.8"
"Kendrick Bourne","NE","39.1","471.3","3.1","2.8","17.1","0.0","0.5","105.9"
"Tim Patrick","DET","38.0","467.0","3.0","0.0","9.0","0.0","0.0","103.6"
"Roman Wilson","PIT","37.0","479.9","2.8","0.7","10.0","0.0","0.4","101.9"
"Jalen Tolbert","DAL","37.5","464.4","3.0","0.0","2.3","0.0","0.2","101.8"
"Greg Dortch","ARI","40.9","420.9","2.5","3.2","21.2","0.1","0.1","100.2"
"Jahan Dotson","PHI","35.5","436.3","3.5","0.0","2.0","0.0","0.4","99.2"
"Andrei Iosivas","CIN","36.3","425.2","3.2","0.0","3.3","0.0","0.2","98.2"
"Tre Tucker","LV","35.0","425.0","2.4","6.0","39.8","0.2","0.3","96.4"
"Ray-Ray McCloud III","ATL","36.5","376.1","2.8","6.9","46.8","0.2","0.2","96.3"
"Ricky Pearsall","SF","33.3","435.1","3.1","2.2","14.5","0.1","0.7","96.0"
"Elijah Moore","CLE","37.2","428.7","2.5","4.4","14.7","0.0","0.4","95.9"
"Jermaine Burton","CIN","34.9","443.2","2.9","0.7","4.3","0.0","0.7","95.8"
"Troy Franklin","DEN","35.6","443.3","2.5","0.0","2.5","0.0","0.1","95.0"
"Noah Brown","WAS","33.9","465.9","2.0","0.3","0.8","0.0","0.1","92.7"
"Malachi Corley","NYJ","33.9","376.3","2.6","4.4","30.0","0.2","0.1","90.9"
"Jonathan Mingo","CAR","36.0","422.8","2.1","0.0","3.0","0.0","0.1","90.7"
"Luke McCaffrey","WAS","35.6","420.1","2.1","0.7","9.3","0.0","0.4","90.5"
"Dyami Brown","WAS","29.6","401.6","2.4","0.0","2.8","0.0","0.1","84.2"
"Odell Beckham Jr.","MIA","27.9","379.6","2.6","0.0","2.0","0.0","0.4","80.6"
"Kalif Raymond","DET","28.9","357.0","1.9","2.2","24.6","0.1","0.2","78.5"
"Trey Palmer","TB","27.5","328.5","2.0","4.2","20.2","0.1","0.2","74.8"
"Cedrick Wilson Jr.","NO","26.0","325.5","2.7","0.3","2.3","0.0","0.1","74.8"
"Treylon Burks","TEN","27.0","357.8","1.8","1.8","18.7","0.1","0.6","74.4"
"Zay Jones","ARI","29.2","309.4","2.2","0.3","2.3","0.0","0.4","72.8"
"Alec Pierce","IND","24.1","362.6","2.0","0.0","1.3","0.0","0.1","72.5"
"Jalen Nailor","MIN","27.5","341.6","1.7","0.0","0.3","0.0","0.1","71.7"
"Calvin Austin III","PIT","25.4","294.6","1.6","4.5","36.3","0.1","0.2","68.7"
"Van Jefferson","PIT","24.1","327.0","1.9","0.0","4.0","0.0","0.1","68.2"
"Cedric Tillman","CLE","24.2","307.9","2.0","0.0","1.7","0.0","0.2","66.5"
"Nelson Agholor","BAL","23.3","291.7","2.1","0.0","2.0","0.0","0.1","65.2"
"KaVontae Turpin","DAL","18.7","220.3","2.7","8.7","66.9","0.4","0.4","65.0"
"K.J. Osborn","NE","24.7","299.6","1.7","0.0","2.0","0.0","0.1","64.7"
"A.T. Perry","NO","20.2","299.4","2.3","0.3","1.8","0.0","0.0","64.3"
"Jauan Jennings","SF","23.7","290.1","1.9","0.0","3.3","0.0","0.1","64.2"
"Devontez Walker","BAL","22.3","273.1","2.0","0.0","3.5","0.0","0.0","62.1"
"Olamide Zaccheaus","WAS","22.1","270.3","1.6","0.0","5.0","0.0","0.1","58.9"
"Javon Baker","NE","22.3","267.5","1.4","0.0","7.3","0.0","0.0","58.3"
"KhaDarel Hodge","ATL","20.5","274.0","1.7","0.0","0.0","0.0","0.3","57.5"
"Allen Lazard","NYJ","19.4","250.0","1.8","0.0","0.7","0.0","0.1","55.2"
"Xavier Gipson","NYJ","19.4","221.4","1.6","4.6","32.6","0.2","0.1","55.0"
"JuJu Smith-Schuster","KC","21.4","226.1","1.6","0.3","1.0","0.0","0.0","53.6"
"Parker Washington","JAC","20.4","217.2","1.6","0.0","4.0","0.0","0.0","52.2"
"John Metchie III","HOU","19.2","232.7","1.5","0.0","5.3","0.0","0.1","51.9"
"Trenton Irwin","CIN","18.2","230.4","1.5","0.0","1.5","0.0","0.1","50.4"
"Tutu Atwell","LAR","17.4","229.8","1.2","2.2","14.1","0.1","0.1","49.1"
"Tyquan Thornton","NE","16.0","198.6","1.0","1.2","8.1","0.0","0.1","42.6"
"D.J. Montgomery","IND","16.0","192.0","1.0","0.0","6.0","0.0","0.0","41.8"
"Mack Hollins","BUF","14.4","185.4","1.3","0.0","0.0","0.0","0.0","40.8"
"Jake Bobo","SEA","15.0","174.0","1.3","0.0","1.3","0.0","0.1","40.0"
"David Bell","CLE","15.2","157.5","1.5","0.0","1.0","0.0","0.0","39.9"
"Isaiah Hodgins","NYG","14.0","183.0","1.0","0.0","4.0","0.0","0.0","38.7"
"Rakim Jarrett","TB","14.0","175.0","1.0","0.0","10.0","0.0","0.0","38.5"
"Justin Watson","KC","12.7","179.1","1.3","0.0","0.0","0.0","0.1","38.1"
"Donovan Peoples-Jones","DET","13.0","181.0","1.0","0.0","4.0","0.0","0.0","37.5"
"Trent Sherfield Sr.","MIN","13.9","165.6","1.0","0.0","2.0","0.0","0.0","36.4"
"Isaiah Williams","DET","13.6","161.8","1.1","0.0","0.0","0.0","0.1","36.1"
"Brandon Powell","MIN","14.7","143.4","0.9","1.9","14.6","0.0","0.1","35.8"
"Parris Campbell","PHI","14.0","152.0","1.0","0.0","5.0","0.0","0.0","35.7"
"Malik Washington","MIA","12.6","157.0","1.0","2.1","13.3","0.1","0.0","35.6"
"Bub Means","NO","13.2","160.2","1.1","0.0","0.0","0.0","0.0","35.5"
"Braxton Berrios","MIA","14.4","140.7","0.9","0.0","2.7","0.0","0.1","34.3"
"Cornelius Johnson","LAC","11.0","166.0","1.0","0.0","0.0","0.0","0.0","33.6"
"Ryan Flournoy","DAL","12.0","141.1","1.1","0.0","0.0","0.0","0.0","32.5"
"Marquez Valdes-Scantling","BUF","9.9","155.0","1.2","0.0","1.0","0.0","0.0","32.4"
"Ainias Smith","PHI","11.0","141.0","1.0","0.0","6.0","0.0","0.0","31.7"
"Jamari Thrash","CLE","11.0","141.0","1.0","0.0","6.0","0.0","0.0","31.7"
"Johnny Wilson","PHI","11.8","140.0","0.9","0.0","2.5","0.0","0.0","31.2"
"Jacob Cowing","SF","11.0","134.0","1.0","0.0","6.0","0.0","0.0","31.0"
"Devaughn Vele","DEN","11.8","139.1","0.9","0.0","0.0","0.0","0.0","30.9"
"Tahj Washington","MIA","11.0","131.0","1.0","0.0","0.0","0.0","0.0","30.1"
"Nick Westbrook-Ikhine","TEN","10.6","143.3","0.8","0.0","1.3","0.0","0.0","29.9"
"Tejhaun Palmer","ARI","11.0","122.0","1.0","0.0","0.0","0.0","0.0","29.2"
"Marcus Rosemy-Jacksaint","PHI","10.0","126.0","1.0","0.0","6.0","0.0","0.0","29.2"
"Brandon Johnson","PIT","10.0","124.0","1.0","0.0","7.0","0.0","0.0","29.1"
"Jordan Whittington","LAR","10.8","129.6","0.9","0.0","0.0","0.0","0.0","29.0"
"Nikko Remigio","KC","10.0","130.0","1.0","0.0","0.0","0.0","0.0","29.0"
"Isaiah McKenzie","NYG","11.0","107.0","1.0","0.0","10.0","0.0","0.0","28.7"
"Allen Robinson II","DET","11.0","113.0","1.0","0.0","4.0","0.0","0.0","28.7"
"Jamison Crowder","WAS","12.0","118.3","0.7","0.0","0.0","0.0","0.0","28.1"
"KJ Hamler","BUF","9.0","125.0","1.0","0.0","5.0","0.0","0.0","28.0"
"Quez Watkins","PIT","9.0","127.0","1.0","0.0","3.0","0.0","0.0","28.0"
"Michael Woods II","CLE","9.0","119.0","1.0","0.0","4.0","0.0","0.0","27.3"
"Jalen Brooks","DAL","11.5","106.9","0.8","0.0","0.0","0.0","0.0","26.9"
"Ben Skowronek","PIT","9.0","111.0","1.0","0.0","4.0","0.0","0.0","26.5"
"Tyler Scott","CHI","8.9","101.7","0.8","2.1","18.2","0.1","0.0","26.1"
"Justyn Ross","KC","8.0","103.0","1.0","0.0","0.0","0.0","0.0","24.3"
"Casey Washington","ATL","8.7","105.8","0.8","0.0","0.0","0.0","0.0","24.2"
"Skyy Moore","KC","8.6","100.4","0.8","0.0","3.0","0.0","0.1","23.5"
"Derius Davis","LAC","7.0","81.2","0.6","6.7","38.6","0.1","0.1","22.8"
"David Moore","CAR","8.1","107.9","0.7","0.0","1.7","0.0","0.1","22.8"
"Equanimeous St. Brown","NO","7.0","91.0","1.0","0.0","4.0","0.0","0.0","22.5"
"Devin Duvernay","JAC","8.8","88.6","0.4","3.3","16.9","0.1","0.1","22.3"
"Robert Woods","HOU","8.3","89.4","0.6","0.0","1.3","0.0","0.0","21.1"
"Chris Moore","ARI","7.7","92.7","0.5","0.0","3.3","0.0","0.0","20.4"
"Jalen Reagor","NE","7.0","90.2","0.7","0.0","2.0","0.0","0.0","20.2"
"Mason Tipton","NO","7.7","86.1","0.6","0.0","0.0","0.0","0.0","20.1"
"Brenden Rice","LAC","7.2","87.9","0.6","0.0","2.0","0.0","0.0","19.9"
"Kayshon Boutte","NE","7.0","88.4","0.6","0.0","2.5","0.0","0.0","19.6"
"Zach Pascal","ARI","6.8","83.6","0.7","0.0","2.0","0.0","0.0","19.3"
"River Cracraft","MIA","9.3","78.9","0.3","0.0","0.0","0.0","0.0","18.8"
"Anthony Gould","IND","6.8","80.7","0.6","0.0","0.0","0.0","0.0","18.6"
"Robbie Chosen","MIA","6.6","79.0","0.7","0.0","2.0","0.0","0.0","18.6"
"Charlie Jones","CIN","6.8","83.2","0.5","0.0","1.7","0.0","0.0","18.4"
"Tre'Quan Smith","DET","11.0","74.0","0.0","0.0","0.0","0.0","0.0","18.4"
"Xavier Hutchinson","HOU","6.4","76.6","0.6","0.0","7.0","0.0","0.0","18.2"
"Ashton Dulin","IND","6.5","75.1","0.7","0.0","2.0","0.0","0.0","18.1"
"Deonte Harty","BAL","6.3","77.2","0.6","0.0","5.0","0.0","0.0","18.1"
"Jason Brownlee","NYJ","6.3","78.7","0.6","0.0","1.5","0.0","0.0","17.9"
"Jalen Guyton","LV","6.0","80.0","0.6","0.0","2.0","0.0","0.0","17.7"
"Ronnie Bell","SF","6.3","76.0","0.6","0.0","2.0","0.0","0.0","17.6"
"Mecole Hardman Jr.","KC","5.2","65.5","0.6","2.1","15.4","0.1","0.0","17.2"
"Bryce Ford-Wheaton","NYG","7.1","74.8","0.4","0.0","0.0","0.0","0.0","16.6"
"Bo Melton","GB","5.9","68.6","0.5","1.0","6.3","0.0","0.1","16.2"
"Laviska Shenault Jr.","SEA","5.2","55.1","0.2","5.3","36.4","0.1","0.1","16.2"
"Chris Conley","SF","5.3","65.0","0.6","0.0","2.0","0.0","0.0","15.5"
"Tim Jones","JAC","4.9","57.0","0.6","0.0","2.0","0.0","0.0","14.3"
"Scotty Miller","PIT","5.6","69.5","0.3","0.0","1.3","0.0","0.0","14.2"
"Malik Heath","GB","4.9","56.7","0.5","0.0","1.0","0.0","0.0","13.6"
"Dareke Young","SEA","5.1","59.7","0.4","0.0","0.0","0.0","0.0","13.2"
"Easop Winston Jr.","SEA","5.1","59.3","0.4","0.0","0.0","0.0","0.0","13.2"
"Britain Covey","PHI","5.2","57.3","0.3","0.0","0.0","0.0","0.0","12.5"
"Terrace Marshall Jr.","SF","5.0","64.0","0.0","0.0","4.0","0.0","0.0","11.8"
"Dee Eskridge","MIA","4.0","56.0","0.0","0.0","6.0","0.0","0.0","10.2"
"Gunner Olszewski","NYG","4.2","44.5","0.2","0.0","0.0","0.0","0.0","9.8"
"Kameron Johnson","TB","3.4","39.3","0.3","0.0","0.0","0.0","0.0","8.9"
"DJ Turner","LV","3.3","37.4","0.2","0.0","0.0","0.0","0.1","8.1"
"Jha'Quan Jackson","TEN","4.0","41.0","0.0","0.0","0.0","0.0","0.0","8.1"
"Tylan Wallace","BAL","3.2","41.3","0.1","0.0","2.0","0.0","0.0","8.1"
"Tyler Johnson","LAR","2.8","32.6","0.2","0.0","0.0","0.0","0.0","7.3"
"Irvin Charles","NYJ","2.6","29.7","0.2","0.0","0.0","0.0","0.0","6.9"
"Velus Jones Jr.","CHI","1.9","25.1","0.1","2.3","9.7","0.1","0.0","6.3"
"Montrell Washington","KC","1.7","21.1","0.2","0.0","0.0","0.0","0.0","4.9"
"Simi Fehoko","LAC","1.7","20.2","0.2","0.0","0.0","0.0","0.0","4.8"
"DeAndre Carter","CHI","2.0","21.0","0.0","0.0","6.0","0.0","0.0","4.7"
"Cody White","SEA","1.7","19.5","0.2","0.0","0.0","0.0","0.0","4.7"
"Trishton Jackson","MIN","1.7","18.8","0.2","0.0","0.0","0.0","0.0","4.6"
"Byron Pringle","WAS","1.9","18.9","0.1","0.0","1.0","0.0","0.0","4.4"
"Kristian Wilkerson","LV","1.5","17.6","0.2","0.0","0.0","0.0","0.0","4.3"
"David Sills","DEN","1.5","16.9","0.1","0.0","0.0","0.0","0.0","4.1"
""
""
