"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"D'Onta Foreman","CLE","64.3","280.4","2.0","10.6","78.0","0.3","0.2","59.8"
"Kendre Miller","NO","54.2","232.5","1.7","12.8","107.2","0.5","0.7","58.4"
"Justice Hill","BAL","57.8","231.1","1.6","13.8","102.4","0.5","0.8","57.8"
"Emanuel Wilson","GB","51.1","222.5","1.5","11.1","80.3","0.6","0.1","53.8"
"Kimani Vidal","LAC","47.0","231.8","1.6","10.8","76.5","0.3","0.1","52.6"
"Ty Johnson","BUF","39.7","165.4","1.1","13.1","111.2","0.7","0.2","51.0"
"Keaton Mitchell","BAL","52.5","255.0","1.6","8.6","69.4","0.2","0.7","50.7"
"Eric Gray","NYG","41.4","211.9","1.5","10.8","73.4","0.2","0.1","49.2"
"Dalvin Cook","DAL","49.3","229.5","1.6","8.5","60.8","0.3","0.0","48.8"
"Trey Sermon","IND","52.9","254.8","1.4","7.9","54.4","0.2","0.1","47.8"
"Chris Rodriguez Jr.","WAS","0.0","235.0","2.0","7.0","51.0","0.0","0.0","47.6"
"Emari Demercado","ARI","34.3","149.2","1.1","13.4","88.5","0.4","0.4","45.0"
"Isaac Guerendo","SF","39.2","214.9","1.5","6.5","52.9","0.1","0.1","42.9"
"Cordarrelle Patterson","PIT","36.0","152.0","1.1","10.2","77.3","0.3","0.1","41.6"
"Will Shipley","PHI","33.9","183.7","1.5","6.5","48.7","0.4","0.1","41.0"
"Evan Hull","IND","0.0","134.0","1.0","8.0","59.0","1.0","0.0","39.3"
"Kyle Juszczyk","SF","5.6","20.2","0.1","14.9","142.5","1.1","0.0","38.5"
"Deuce Vaughn","DAL","40.0","147.7","1.2","9.1","68.5","0.2","0.4","38.4"
"Pierre Strong Jr.","CLE","51.1","223.1","1.2","5.3","40.8","0.1","1.4","36.7"
"Dylan Laube","LV","26.9","145.2","1.1","7.8","57.3","0.1","0.0","35.2"
"Chase Edmonds","TB","0.0","88.0","1.0","11.0","83.0","0.0","0.0","34.1"
"Michael Carter","ARI","0.0","111.0","1.0","10.0","69.0","0.0","0.0","34.0"
"Isaiah Davis","NYJ","45.7","163.8","1.3","5.3","39.1","0.1","0.1","33.7"
"Tyler Goodson","IND","25.2","131.1","0.9","7.5","54.3","0.4","0.1","33.2"
"Cam Akers","HOU","41.3","158.4","1.1","4.7","35.6","0.2","0.1","31.4"
"Jase McClellan","ATL","31.2","129.2","1.0","5.4","43.7","0.4","0.0","30.9"
"Ameer Abdullah","LV","26.7","102.3","0.2","10.7","78.4","0.1","0.0","30.7"
"Rasheen Ali","BAL","26.4","149.1","1.2","3.9","31.0","0.1","0.0","29.1"
"Kevin Harris","NE","4.5","134.1","1.1","5.0","36.6","0.0","0.0","28.3"
"Jawhar Jordan","HOU","0.0","134.0","1.0","4.0","30.0","0.0","0.0","26.4"
"Jeremy McNichols","WAS","18.4","69.5","0.2","9.2","69.5","0.4","0.0","26.1"
"Carson Steele","KC","14.8","101.3","0.9","5.1","39.1","0.1","0.0","25.0"
"Ronnie Rivers","LAR","29.7","116.8","0.8","4.6","33.3","0.1","0.0","24.7"
"D'Ernest Johnson","JAC","31.8","113.9","0.5","5.5","39.2","0.1","0.1","24.4"
"Deneric Prince","MIA","0.0","113.0","1.0","4.0","29.0","0.0","0.0","24.2"
"Craig Reynolds","DET","21.6","102.3","0.8","4.1","33.3","0.1","0.1","22.7"
"JaMycal Hasty","NE","21.8","73.8","0.5","6.9","44.4","0.1","0.1","22.2"
"Dare Ogunbowale","HOU","16.7","56.9","0.4","7.3","54.7","0.1","0.0","21.3"
"Kenny McIntosh","SEA","26.8","88.9","0.6","4.4","32.3","0.1","0.1","20.8"
"Julius Chestnut","TEN","20.7","81.0","0.6","4.5","34.8","0.1","0.1","20.5"
"Blake Watson","DEN","14.6","84.1","0.7","4.0","28.6","0.1","0.0","19.9"
"Chris Evans","CIN","0.0","38.0","0.0","9.0","65.0","0.0","0.0","19.3"
"Hunter Luepke","DAL","7.4","26.2","1.4","4.0","27.1","0.2","0.0","18.9"
"Jeff Wilson Jr.","MIA","15.0","80.3","0.6","3.2","23.6","0.1","0.0","17.9"
"Sean Tucker","TB","25.5","80.9","0.6","2.8","21.4","0.1","0.1","17.1"
"Jaret Patterson","LAC","16.7","71.0","0.4","4.0","27.6","0.2","0.1","16.7"
"Carlos Washington Jr.","ATL","0.0","37.0","1.0","4.0","22.0","0.0","0.0","15.9"
"Jordan Mims","NO","14.6","58.5","0.6","3.5","25.3","0.1","0.0","15.8"
"Alec Ingold","MIA","1.1","4.4","0.0","7.6","55.5","0.3","0.1","15.4"
"Cody Schrader","LAR","31.0","77.0","0.5","2.0","14.0","0.0","0.0","14.1"
"Raheem Blackshear","CAR","7.2","38.6","0.2","4.7","34.6","0.0","0.0","13.1"
"Avery Williams","ATL","7.6","35.0","0.4","3.9","23.2","0.1","0.0","13.0"
"Israel Abanikanda","NYJ","14.9","57.5","0.3","2.7","19.0","0.1","0.1","12.8"
"Boston Scott","PIT","1.2","52.0","0.5","1.9","14.1","0.0","0.0","11.8"
"Malik Davis","DAL","0.0","55.0","0.0","3.0","23.0","0.0","0.0","10.8"
"Nyheim Hines","CLE","1.3","17.1","0.0","4.5","32.3","0.0","0.0","9.6"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.4","33.2","0.3","0.0","9.3"
"Trayveon Williams","CIN","0.0","41.0","0.0","3.0","20.0","0.0","0.0","9.1"
