"Player","Team","REC","YDS","TDS","FL","FPTS"
"Lucas Krull","DEN","9.6","101.5","0.7","0.0","14.5"
"Drew Sample","CIN","10.7","97.4","0.7","0.0","14.1"
"Payne Durham","TB","9.2","96.7","0.7","0.0","14.0"
"Quintin Morris","BUF","7.0","73.6","1.1","0.0","13.7"
"Ian Thomas","CAR","10.8","109.4","0.5","0.0","13.6"
"MyCole Pruitt","PIT","6.2","67.6","1.1","0.0","13.6"
"Luke Farrell","JAC","8.8","88.3","0.7","0.0","12.7"
"James Mitchell","DET","8.0","83.3","0.7","0.0","12.4"
"Ben Sims","GB","6.5","56.5","1.1","0.0","12.2"
"Miller Forristall","LAR","7.5","78.3","0.6","0.0","11.6"
"Harrison Bryant","LV","7.8","77.1","0.6","0.0","11.5"
"Grant Calcaterra","PHI","7.4","76.6","0.6","0.0","11.4"
"Armani Rogers","WAS","6.0","69.3","0.6","0.0","10.4"
"Nick Vannett","TEN","6.2","68.9","0.6","0.0","10.4"
"Cole Turner","WAS","6.0","69.2","0.6","0.0","10.4"
"Giovanni Ricci","CLE","7.3","71.9","0.5","0.1","10.3"
"John Bates","WAS","8.3","78.1","0.4","0.0","10.2"
"C.J. Uzomah","PHI","6.1","59.1","0.7","0.0","10.1"
"Albert Okwuegbunam Jr.","PHI","6.4","62.5","0.6","0.0","9.8"
"Charlie Woerner","ATL","6.1","60.9","0.5","0.0","9.1"
"Lawrence Cager","NYG","7.6","65.9","0.4","0.0","8.7"
"Josiah Deguara","JAC","7.1","60.9","0.4","0.0","8.6"
"Hunter Long","LAR","5.4","55.1","0.5","0.0","8.5"
"Ko Kieft","TB","5.6","56.6","0.5","0.1","8.3"
"Kenny Yeboah","NYJ","3.8","36.3","0.3","0.0","5.3"
"Mitchell Wilcox","NE","3.6","35.0","0.2","0.0","4.5"
"Charlie Kolar","BAL","3.4","34.6","0.1","0.0","4.0"
"Dalton Keene","HOU","2.0","21.1","0.2","0.0","3.1"
"Tre' McKitty","BUF","2.1","20.7","0.2","0.0","3.1"
"Shane Zylstra","DET","2.0","20.0","0.2","0.0","3.0"
"Tyler Davis","GB","2.0","20.0","0.2","0.0","3.0"
"Jody Fortson Jr.","MIA","2.1","19.7","0.2","0.0","3.0"
"Tommy Hudson","NO","2.0","19.4","0.2","0.0","3.0"
"Julian Hill","MIA","2.1","19.1","0.2","0.0","2.9"
"Stephen Carlson","CHI","2.0","19.1","0.2","0.0","2.9"
"Brady Russell","SEA","2.0","19.0","0.2","0.0","2.9"
"Zack Kuntz","NYJ","1.9","17.8","0.2","0.0","2.8"
"Eric Tomlinson","IND","1.8","17.7","0.2","0.0","2.8"
"Cole Fotheringham","LV","1.8","17.4","0.2","0.0","2.8"
"Zach Gentry","LV","1.9","16.5","0.2","0.0","2.7"
"Rodney Williams","PIT","1.7","15.8","0.2","0.0","2.6"
"Nate Adkins","DEN","1.7","15.8","0.2","0.0","2.5"
"Chris Manhertz","NYG","1.9","16.7","0.1","0.0","2.4"
""
""
