,Player,Pos,Team,PASS ATT,PASS CMP,PASS YDS,PASS TD,INTS,RUSH ATT,RUSH YDS,RUSH TD,REC YDS,REC TD,FL
44,Hendon Hooker,QB,DET,68.2,44.3,327.5,1.9,1.4,6.1,25.9,0.2,0.0,0.0,0.3
45,Kenny Pickett,QB,PHI,43.8,28.6,329.6,2.0,1.2,7.1,24.5,0.2,0.0,0.0,0.5
46,Mitchell Trubisky,QB,BUF,45.7,29.6,269.8,2.0,1.3,8.0,25.8,0.3,0.0,0.0,0.2
47,Sean Clifford,QB,GB,50.7,32.1,309.6,2.2,1.2,6.5,17.8,0.1,0.0,0.0,0.3
48,Jimmy Garoppolo,QB,LAR,46.5,30.1,315.4,2.1,1.2,3.8,10.6,0.0,0.0,0.0,0.1
49,Carson Wentz,QB,KC,48.6,30.8,289.8,2.1,1.3,5.2,19.4,0.1,0.0,0.0,0.2
50,Case Keenum,QB,HOU,51.9,32.3,301.1,2.2,1.3,4.0,12.1,0.1,0.0,0.0,0.3
51,Mason Rudolph,QB,TEN,57.4,34.9,332.3,1.8,1.3,5.3,13.5,0.1,0.0,0.0,0.3
52,Joshua Dobbs,QB,SF,40.6,26.9,266.3,1.8,0.9,6.0,27.8,0.2,0.0,0.0,0.2
53,Tyson Bagent,QB,CHI,46.5,30.1,293.6,1.7,1.2,4.9,24.1,0.1,0.0,0.0,0.2
54,Jameis Winston,QB,CLE,48.0,29.6,307.8,1.9,1.5,5.6,18.3,0.1,0.0,0.0,0.1
55,Desmond Ridder,QB,ARI,48.2,30.9,329.2,1.8,1.4,5.8,21.1,0.1,0.0,0.0,0.9
56,Cooper Rush,QB,DAL,48.2,30.5,297.9,2.0,1.3,5.7,11.0,0.1,0.0,0.0,0.2
57,Marcus Mariota,QB,WAS,44.5,27.7,282.3,1.5,1.2,6.5,30.8,0.1,0.0,0.0,0.2
58,Tyrod Taylor,QB,NYJ,43.9,27.5,269.9,1.9,1.0,5.5,23.5,0.0,0.0,0.0,0.2
59,Joe Flacco,QB,IND,48.9,30.7,317.5,1.8,1.1,5.0,13.3,0.0,0.0,0.0,0.5
60,Mac Jones,QB,JAC,46.7,31.4,290.3,1.7,1.3,5.4,19.0,0.0,0.0,0.0,0.1
61,Easton Stick,QB,LAC,43.3,26.4,261.9,1.7,0.9,6.1,24.1,0.1,0.0,0.0,0.2
62,Kyle Trask,QB,TB,44.7,26.9,264.5,1.7,0.9,5.5,13.5,0.1,0.0,0.0,0.2
63,Andy Dalton,QB,CAR,45.4,28.6,272.1,1.6,0.9,4.7,16.7,0.1,0.0,0.0,0.1
64,Mike White,QB,MIA,47.2,30.1,293.1,1.5,1.4,4.2,8.5,0.1,0.0,0.0,0.2
65,Tyler Huntley,QB,CLE,0.0,0.0,202.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0
66,Zach Wilson,QB,DEN,0.0,0.0,200.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0
67,Jaren Hall,QB,MIN,0.0,0.0,174.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0
68,Bailey Zappe,QB,NE,0.0,0.0,200.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0
69,Malik Willis,QB,TEN,0.0,0.0,168.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0
70,Tommy DeVito,QB,NYG,0.0,0.0,190.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0
71,Nick Mullens,QB,MIN,0.0,0.0,210.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0
72,Davis Mills,QB,HOU,22.0,13.0,184.0,1.0,0.5,4.0,13.5,0.0,0.0,0.0,0.0
73,C.J. Beathard,QB,JAC,0.0,0.0,186.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0
74,Trey Lance,QB,DAL,24.0,15.0,177.0,1.0,1.0,5.0,18.5,0.0,0.0,0.0,0.0
75,Kyle Allen,QB,PIT,0.0,0.0,186.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0
76,Jordan Travis,QB,NYJ,0.0,0.0,188.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0
77,Skylar Thompson,QB,MIA,0.0,0.0,161.0,1.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0
78,Taylor Heinicke,QB,ATL,0.0,0.0,220.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0
79,Clayton Tune,QB,ARI,0.0,0.0,180.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0
80,Michael Pratt,QB,GB,16.0,11.0,156.0,1.0,0.5,2.0,10.0,0.0,0.0,0.0,0.0
81,Joe Milton III,QB,NE,0.0,0.0,190.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,1.0
82,Gavin Hardison,QB,MIA,16.0,11.0,129.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0
83,Spencer Rattler,QB,NO,17.0,11.0,110.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0
84,Jacob Eason,QB,GB,21.0,12.0,138.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0
85,Stetson Bennett,QB,LAR,0.0,0.0,92.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
86,Carter Bradley,QB,LV,16.0,10.0,107.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0
87,Sam Hartman,QB,WAS,0.0,0.0,100.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
88,Nathan Rourke,QB,NYG,15.0,10.0,96.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0
89,Tanner McKee,QB,PHI,0.0,0.0,80.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
90,Sam Ehlinger,QB,IND,0.0,0.0,76.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
91,Dorian Thompson-Robinson,QB,CLE,0.0,0.0,87.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
92,Devin Leary,QB,BAL,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Malik Cunningham,QB,BAL,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
0,Christian McCaffrey,RB,SF,0.0,0.0,0.0,0.0,0.0,274.2,1294.6,11.7,566.2,4.8,1.7
1,Breece Hall,RB,NYJ,0.0,0.0,0.0,0.0,0.0,249.9,1121.9,7.8,529.6,3.8,1.4
2,Bijan Robinson,RB,ATL,0.0,0.0,0.0,0.0,0.0,238.7,1093.6,7.3,531.9,4.3,2.2
3,Jonathan Taylor,RB,IND,0.0,0.0,0.0,0.0,0.0,283.0,1269.2,10.0,279.5,1.6,1.4
4,Saquon Barkley,RB,PHI,0.0,0.0,0.0,0.0,0.0,269.6,1140.1,9.1,351.5,3.0,1.7
5,Kyren Williams,RB,LAR,0.0,0.0,0.0,0.0,0.0,258.1,1154.1,10.3,263.9,2.2,1.7
6,Derrick Henry,RB,BAL,0.0,0.0,0.0,0.0,0.0,265.8,1178.5,11.0,194.3,0.9,1.0
7,Jahmyr Gibbs,RB,DET,0.0,0.0,0.0,0.0,0.0,201.3,946.3,8.4,392.1,2.2,1.4
8,Isiah Pacheco,RB,KC,0.0,0.0,0.0,0.0,0.0,238.9,1066.8,8.5,274.0,2.0,1.4
9,Travis Etienne Jr.,RB,JAC,0.0,0.0,0.0,0.0,0.0,250.2,1023.1,8.4,355.7,1.4,1.3
10,Josh Jacobs,RB,GB,0.0,0.0,0.0,0.0,0.0,255.0,1056.0,8.3,298.8,1.3,1.1
11,Rachaad White,RB,TB,0.0,0.0,0.0,0.0,0.0,241.5,934.1,6.6,410.1,2.4,1.7
12,James Cook,RB,BUF,0.0,0.0,0.0,0.0,0.0,236.7,1039.1,5.0,379.5,2.6,1.4
13,Joe Mixon,RB,HOU,0.0,0.0,0.0,0.0,0.0,248.6,965.1,7.8,300.7,2.1,0.9
14,De'Von Achane,RB,MIA,0.0,0.0,0.0,0.0,0.0,175.4,907.5,7.2,348.1,2.9,0.9
15,Kenneth Walker III,RB,SEA,0.0,0.0,0.0,0.0,0.0,237.7,994.9,8.9,225.0,1.0,0.9
16,David Montgomery,RB,DET,0.0,0.0,0.0,0.0,0.0,203.9,893.2,9.8,165.4,0.8,0.9
17,Alvin Kamara,RB,NO,0.0,0.0,0.0,0.0,0.0,195.6,773.2,5.1,466.0,2.2,0.9
18,Aaron Jones,RB,MIN,0.0,0.0,0.0,0.0,0.0,189.9,872.2,5.5,320.3,2.0,1.0
19,Najee Harris,RB,PIT,0.0,0.0,0.0,0.0,0.0,240.2,959.2,6.9,184.5,1.2,1.0
20,James Conner,RB,ARI,0.0,0.0,0.0,0.0,0.0,201.6,882.9,6.6,223.0,1.4,0.9
21,Zamir White,RB,LV,0.0,0.0,0.0,0.0,0.0,229.9,969.5,5.6,238.8,0.8,1.3
22,D'Andre Swift,RB,CHI,0.0,0.0,0.0,0.0,0.0,198.7,879.7,5.7,259.4,1.6,1.0
23,Raheem Mostert,RB,MIA,0.0,0.0,0.0,0.0,0.0,168.8,799.4,8.4,183.6,1.5,1.0
24,Rhamondre Stevenson,RB,NE,0.0,0.0,0.0,0.0,0.0,215.0,890.3,5.8,290.5,0.9,1.0
25,Zack Moss,RB,CIN,0.0,0.0,0.0,0.0,0.0,190.2,805.4,6.3,206.7,1.4,0.5
26,Jonathon Brooks,RB,CAR,0.0,0.0,0.0,0.0,0.0,196.3,840.0,5.2,232.6,1.1,1.6
27,Brian Robinson Jr.,RB,WAS,0.0,0.0,0.0,0.0,0.0,184.5,762.6,5.3,247.4,1.8,1.5
28,Tony Pollard,RB,TEN,0.0,0.0,0.0,0.0,0.0,189.5,809.4,5.6,231.0,0.8,0.9
29,Devin Singletary,RB,NYG,0.0,0.0,0.0,0.0,0.0,196.5,857.3,5.0,216.1,0.7,1.0
30,Javonte Williams,RB,DEN,0.0,0.0,0.0,0.0,0.0,196.4,802.8,4.5,234.3,1.5,0.9
31,Gus Edwards,RB,LAC,0.0,0.0,0.0,0.0,0.0,187.2,798.8,7.1,140.5,0.4,1.3
32,Nick Chubb,RB,CLE,0.0,0.0,0.0,0.0,0.0,179.5,829.3,5.8,156.9,0.6,0.9
33,Ezekiel Elliott,RB,DAL,0.0,0.0,0.0,0.0,0.0,180.5,701.8,6.2,211.2,1.3,1.0
34,Jaylen Warren,RB,PIT,0.0,0.0,0.0,0.0,0.0,145.2,696.2,3.9,329.7,1.7,1.4
35,Tyjae Spears,RB,TEN,0.0,0.0,0.0,0.0,0.0,144.1,612.9,3.6,338.6,1.5,0.9
36,Austin Ekeler,RB,WAS,0.0,0.0,0.0,0.0,0.0,124.4,516.9,4.1,373.4,2.0,1.7
37,Chase Brown,RB,CIN,0.0,0.0,0.0,0.0,0.0,116.5,530.4,3.4,286.6,1.8,0.5
38,Jerome Ford,RB,CLE,0.0,0.0,0.0,0.0,0.0,147.3,566.5,3.7,210.1,1.7,0.8
39,Ty Chandler,RB,MIN,0.0,0.0,0.0,0.0,0.0,142.6,586.7,4.4,149.7,0.6,0.8
40,Tyler Allgeier,RB,ATL,0.0,0.0,0.0,0.0,0.0,133.2,550.6,3.8,169.4,1.2,0.8
41,J.K. Dobbins,RB,LAC,0.0,0.0,0.0,0.0,0.0,130.3,531.0,3.6,172.7,1.5,0.9
42,Trey Benson,RB,ARI,0.0,0.0,0.0,0.0,0.0,131.4,568.5,3.9,141.6,0.9,1.5
43,Blake Corum,RB,LAR,0.0,0.0,0.0,0.0,0.0,128.9,542.6,4.1,152.4,0.7,1.5
44,Zach Charbonnet,RB,SEA,0.0,0.0,0.0,0.0,0.0,114.9,503.8,3.0,224.7,0.8,0.8
45,Rico Dowdle,RB,DAL,0.0,0.0,0.0,0.0,0.0,144.1,533.9,3.5,143.5,1.0,0.4
46,Antonio Gibson,RB,NE,0.0,0.0,0.0,0.0,0.0,116.9,445.5,2.3,283.9,1.2,1.4
47,Jaleel McLaughlin,RB,DEN,0.0,0.0,0.0,0.0,0.0,107.8,504.1,2.8,166.3,0.9,0.8
48,Chuba Hubbard,RB,CAR,0.0,0.0,0.0,0.0,0.0,121.4,505.6,3.3,153.7,0.5,0.8
49,Kendre Miller,RB,NO,0.0,0.0,0.0,0.0,0.0,98.3,397.7,2.7,190.4,1.1,0.8
50,MarShawn Lloyd,RB,GB,0.0,0.0,0.0,0.0,0.0,101.7,416.5,3.1,142.2,1.0,1.1
51,Khalil Herbert,RB,CHI,0.0,0.0,0.0,0.0,0.0,105.9,447.3,2.7,89.4,0.7,0.8
52,Alexander Mattison,RB,LV,0.0,0.0,0.0,0.0,0.0,105.2,405.9,2.7,93.5,1.0,0.9
53,Ray Davis,RB,BUF,0.0,0.0,0.0,0.0,0.0,87.1,370.4,2.9,130.6,0.6,1.2
54,Clyde Edwards-Helaire,RB,KC,0.0,0.0,0.0,0.0,0.0,80.0,316.4,2.1,171.7,1.2,0.5
55,Elijah Mitchell,RB,SF,0.0,0.0,0.0,0.0,0.0,98.3,402.6,3.2,59.4,0.2,0.7
56,Bucky Irving,RB,TB,0.0,0.0,0.0,0.0,0.0,96.5,363.4,2.5,109.2,0.7,1.1
57,Braelon Allen,RB,NYJ,0.0,0.0,0.0,0.0,0.0,100.5,385.3,2.7,78.0,0.5,0.8
58,D'Onta Foreman,RB,CLE,0.0,0.0,0.0,0.0,0.0,94.2,357.8,2.6,76.5,0.6,0.4
59,Tyrone Tracy Jr.,RB,NYG,0.0,0.0,0.0,0.0,0.0,97.2,361.5,2.2,107.7,0.5,1.1
60,Roschon Johnson,RB,CHI,0.0,0.0,0.0,0.0,0.0,75.9,289.5,2.3,138.8,0.6,0.5
61,Keaton Mitchell,RB,BAL,0.0,0.0,0.0,0.0,0.0,68.9,316.1,2.3,95.4,0.6,0.7
62,Kenneth Gainwell,RB,PHI,0.0,0.0,0.0,0.0,0.0,75.6,287.6,2.2,124.2,0.5,1.2
63,Dameon Pierce,RB,HOU,0.0,0.0,0.0,0.0,0.0,82.5,334.0,2.3,68.6,0.1,0.5
64,Jamaal Williams,RB,NO,0.0,0.0,0.0,0.0,0.0,90.4,329.6,2.3,73.0,0.1,0.5
65,Tank Bigsby,RB,JAC,0.0,0.0,0.0,0.0,0.0,95.0,313.3,3.1,54.2,0.2,2.2
66,Jaylen Wright,RB,MIA,0.0,0.0,0.0,0.0,0.0,58.0,267.2,2.2,96.1,0.7,0.8
67,Samaje Perine,RB,DEN,0.0,0.0,0.0,0.0,0.0,52.1,211.8,1.2,201.2,0.8,1.2
68,Miles Sanders,RB,CAR,0.0,0.0,0.0,0.0,0.0,88.1,320.9,1.6,89.2,0.1,1.2
69,Kimani Vidal,RB,LAC,0.0,0.0,0.0,0.0,0.0,16.7,260.0,1.7,93.2,0.1,0.0
70,AJ Dillon,RB,GB,0.0,0.0,0.0,0.0,0.0,56.9,240.6,1.8,83.5,0.1,0.4
71,Justice Hill,RB,BAL,0.0,0.0,0.0,0.0,0.0,54.4,219.8,1.5,103.5,0.4,0.8
72,Chase Edmonds,RB,TB,0.0,0.0,0.0,0.0,0.0,55.5,199.5,1.2,102.9,0.2,0.1
73,Will Shipley,RB,PHI,0.0,0.0,0.0,0.0,0.0,35.4,201.8,1.6,56.4,0.4,0.1
74,Audric Estime,RB,DEN,0.0,0.0,0.0,0.0,0.0,46.5,202.9,1.4,57.7,0.4,0.7
75,Trey Sermon,RB,IND,0.0,0.0,0.0,0.0,0.0,44.4,228.5,1.2,44.8,0.1,0.1
76,Eric Gray,RB,NYG,0.0,0.0,0.0,0.0,0.0,37.4,180.9,1.4,72.1,0.2,0.1
77,Deuce Vaughn,RB,DAL,0.0,0.0,0.0,0.0,0.0,38.7,154.9,1.2,87.2,0.6,0.4
78,Isaiah Davis,RB,NYJ,0.0,0.0,0.0,0.0,0.0,65.4,193.3,1.4,44.0,0.2,0.1
79,Ty Johnson,RB,BUF,0.0,0.0,0.0,0.0,0.0,27.1,139.4,0.9,99.3,0.6,0.2
80,Dylan Laube,RB,LV,0.0,0.0,0.0,0.0,0.0,41.3,171.1,1.1,62.2,0.2,0.1
81,Rasheen Ali,RB,BAL,0.0,0.0,0.0,0.0,0.0,26.4,158.3,1.5,51.6,0.1,0.0
82,Isaac Guerendo,RB,SF,0.0,0.0,0.0,0.0,0.0,29.9,167.3,1.3,43.0,0.1,0.0
83,Kendall Milton,RB,PHI,0.0,0.0,0.0,0.0,0.0,34.0,146.0,2.0,25.0,0.0,0.0
84,Emani Bailey,RB,KC,0.0,0.0,0.0,0.0,0.0,0.0,157.0,1.0,60.0,0.0,0.0
85,Evan Hull,RB,IND,0.0,0.0,0.0,0.0,0.0,34.5,144.1,1.0,55.5,0.3,0.2
86,Jase McClellan,RB,ATL,0.0,0.0,0.0,0.0,0.0,33.0,134.0,1.0,43.8,0.4,0.0
87,Emari Demercado,RB,ARI,0.0,0.0,0.0,0.0,0.0,23.6,118.7,0.9,78.2,0.3,0.4
88,Chris Rodriguez Jr.,RB,WAS,0.0,0.0,0.0,0.0,0.0,14.5,133.6,0.9,52.4,0.2,0.1
89,Cordarrelle Patterson,RB,PIT,0.0,0.0,0.0,0.0,0.0,22.4,110.9,0.8,67.7,0.3,0.1
90,DeWayne McBride,RB,MIN,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1.0,36.0,0.0,0.0
91,Isaiah Spiller,RB,LAC,0.0,0.0,0.0,0.0,0.0,42.0,144.1,0.9,33.3,0.1,0.1
92,Kyle Juszczyk,RB,SF,0.0,0.0,0.0,0.0,0.0,5.6,19.1,0.1,140.1,1.1,0.0
93,Ameer Abdullah,RB,LV,0.0,0.0,0.0,0.0,0.0,27.0,102.5,0.2,95.2,0.2,0.1
94,Michael Carter,RB,ARI,0.0,0.0,0.0,0.0,0.0,24.6,109.7,0.8,57.5,0.1,0.1
95,Kevin Harris,RB,NE,0.0,0.0,0.0,0.0,0.0,13.5,120.7,0.9,43.5,0.1,0.1
96,Andrew Beck,RB,HOU,0.0,0.0,0.0,0.0,0.0,3.7,9.5,0.7,87.8,1.5,1.5
97,Blake Watson,RB,DEN,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1.0,29.0,0.0,0.0
98,Craig Reynolds,RB,DET,0.0,0.0,0.0,0.0,0.0,23.0,107.0,0.8,33.4,0.1,0.1
99,Ronnie Rivers,RB,LAR,0.0,0.0,0.0,0.0,0.0,27.2,112.3,0.7,34.0,0.1,0.0
100,Nyheim Hines,RB,CLE,0.0,0.0,0.0,0.0,0.0,22.4,68.1,0.5,80.6,0.2,0.1
101,D'Ernest Johnson,RB,JAC,0.0,0.0,0.0,0.0,0.0,31.8,114.2,0.5,39.2,0.1,0.1
102,Trayveon Williams,RB,CIN,0.0,0.0,0.0,0.0,0.0,21.9,94.6,0.7,43.5,0.2,0.2
103,Royce Freeman,RB,DAL,0.0,0.0,0.0,0.0,0.0,25.4,103.2,0.7,29.6,0.2,0.1
104,Jordan Mason,RB,SF,0.0,0.0,0.0,0.0,0.0,27.3,103.1,0.9,15.0,0.1,0.0
105,Israel Abanikanda,RB,NYJ,0.0,0.0,0.0,0.0,0.0,17.2,97.7,0.7,27.9,0.1,0.1
106,Hunter Luepke,RB,DAL,0.0,0.0,0.0,0.0,0.0,7.9,28.1,1.4,39.1,0.2,0.0
107,Dare Ogunbowale,RB,HOU,0.0,0.0,0.0,0.0,0.0,20.7,71.1,0.3,64.2,0.2,0.1
108,Pierre Strong Jr.,RB,CLE,0.0,0.0,0.0,0.0,0.0,18.7,98.1,0.7,19.9,0.0,0.0
109,Jeremy McNichols,RB,WAS,0.0,0.0,0.0,0.0,0.0,14.1,56.8,0.0,65.4,0.5,0.0
110,Kenny McIntosh,RB,SEA,0.0,0.0,0.0,0.0,0.0,27.4,82.2,0.4,36.6,0.2,0.1
111,Cody Schrader,RB,SF,0.0,0.0,0.0,0.0,0.0,33.0,105.5,0.5,16.0,0.0,0.0
112,Jawhar Jordan,RB,HOU,0.0,0.0,0.0,0.0,0.0,11.3,89.9,0.6,22.4,0.0,0.0
113,Deneric Prince,RB,KC,0.0,0.0,0.0,0.0,0.0,20.1,85.6,0.5,23.4,0.1,0.1
114,Zander Horvath,RB,NO,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,8.0,2.0,0.0
115,Jeff Wilson Jr.,RB,MIA,0.0,0.0,0.0,0.0,0.0,14.3,78.0,0.6,23.6,0.1,0.0
116,Rashaad Penny,RB,CAR,0.0,0.0,0.0,0.0,0.0,16.4,77.5,0.6,24.0,0.1,0.0
117,Nick Bawden,RB,NYJ,0.0,0.0,0.0,0.0,0.0,5.4,18.0,1.6,19.4,0.1,0.0
118,Julius Chestnut,RB,TEN,0.0,0.0,0.0,0.0,0.0,14.4,60.3,0.4,37.7,0.1,0.2
119,Elijah Dotson,RB,LAC,0.0,0.0,0.0,0.0,0.0,9.1,58.5,0.6,22.3,0.1,0.0
120,Zach Evans,RB,LAR,0.0,0.0,0.0,0.0,0.0,2.3,57.1,0.5,22.1,0.1,0.0
121,Boston Scott,RB,LAR,0.0,0.0,0.0,0.0,0.0,2.3,54.3,0.6,19.1,0.1,0.0
122,Keaontay Ingram,RB,KC,0.0,0.0,0.0,0.0,0.0,15.4,51.7,0.3,18.5,0.1,0.0
123,Myles Gaskin,RB,MIN,0.0,0.0,0.0,0.0,0.0,13.7,54.1,0.3,13.7,0.1,0.1
124,Chris Evans,RB,CIN,0.0,0.0,0.0,0.0,0.0,7.9,35.1,0.2,37.1,0.1,0.0
125,Dante Miller,RB,NYG,0.0,0.0,0.0,0.0,0.0,7.1,29.3,0.2,28.2,0.2,0.1
126,Malik Davis,RB,DAL,0.0,0.0,0.0,0.0,0.0,4.6,36.8,0.1,27.5,0.1,0.0
127,Alec Ingold,RB,MIA,0.0,0.0,0.0,0.0,0.0,1.1,4.4,0.0,55.5,0.3,0.1
128,Sean Tucker,RB,TB,0.0,0.0,0.0,0.0,0.0,10.0,38.8,0.2,20.5,0.1,0.0
129,Kene Nwangwu,RB,MIN,0.0,0.0,0.0,0.0,0.0,9.7,43.0,0.2,17.3,0.1,0.0
130,Sione Vaki,RB,DET,0.0,0.0,0.0,0.0,0.0,8.5,35.5,0.3,14.8,0.1,0.0
131,Michael Burton,RB,DEN,0.0,0.0,0.0,0.0,0.0,6.2,25.4,0.2,26.3,0.2,0.1
132,JaMycal Hasty,RB,NE,0.0,0.0,0.0,0.0,0.0,9.4,34.1,0.1,22.6,0.1,0.0
133,Raheem Blackshear,RB,CAR,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,41.2,0.0,0.0
134,Salvon Ahmed,RB,MIA,0.0,0.0,0.0,0.0,0.0,2.2,30.4,0.0,29.7,0.1,0.0
135,DeeJay Dallas,RB,ARI,0.0,0.0,0.0,0.0,0.0,4.9,33.0,0.1,24.1,0.0,0.0
136,Avery Williams,RB,ATL,0.0,0.0,0.0,0.0,0.0,4.4,18.4,0.2,22.3,0.2,0.0
137,Darrynton Evans,RB,BUF,0.0,0.0,0.0,0.0,0.0,5.1,20.8,0.1,23.0,0.2,0.0
138,Travis Homer,RB,CHI,0.0,0.0,0.0,0.0,0.0,3.1,27.3,0.0,24.4,0.1,0.0
139,Cam Akers,RB,HOU,0.0,0.0,0.0,0.0,0.0,4.5,17.8,0.2,17.6,0.2,0.0
140,Reggie Gilliam,RB,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.3,0.0
141,Giovanni Ricci,RB,CLE,0.0,0.0,0.0,0.0,0.0,2.4,10.0,0.0,28.3,0.2,0.0
142,Adam Prentice,RB,NO,0.0,0.0,0.0,0.0,0.0,3.3,14.1,0.1,22.9,0.1,0.0
143,Keilan Robinson,RB,JAC,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,15.0,0.0,0.0
144,Emanuel Wilson,RB,GB,0.0,0.0,0.0,0.0,0.0,2.2,26.0,0.0,15.4,0.1,0.0
145,Jashaun Corbin,RB,NYG,0.0,0.0,0.0,0.0,0.0,4.3,17.5,0.2,12.4,0.0,0.0
146,Hassan Haskins,RB,TEN,0.0,0.0,0.0,0.0,0.0,2.4,27.7,0.0,12.3,0.0,0.0
147,Zonovan Knight,RB,DET,0.0,0.0,0.0,0.0,0.0,2.3,9.3,0.0,16.2,0.2,0.0
148,Jake Funk,RB,DET,0.0,0.0,0.0,0.0,0.0,2.3,9.4,0.0,16.1,0.2,0.0
149,Jermar Jefferson,RB,DET,0.0,0.0,0.0,0.0,0.0,2.3,9.4,0.0,15.9,0.2,0.0
150,J.J. Taylor,RB,HOU,0.0,0.0,0.0,0.0,0.0,2.2,8.8,0.0,16.2,0.2,0.0
151,Snoop Conner,RB,DAL,0.0,0.0,0.0,0.0,0.0,2.3,9.2,0.0,15.6,0.2,0.0
152,Patrick Ricard,RB,BAL,0.0,0.0,0.0,0.0,0.0,2.7,10.9,0.0,13.1,0.2,0.0
153,Chris Brooks,RB,MIA,0.0,0.0,0.0,0.0,0.0,2.2,9.0,0.0,14.7,0.2,0.0
154,James Robinson,RB,NO,0.0,0.0,0.0,0.0,0.0,2.4,10.1,0.0,13.4,0.2,0.0
155,Khari Blasingame,RB,CHI,0.0,0.0,0.0,0.0,0.0,2.3,9.3,0.0,14.4,0.2,0.0
156,Patrick Taylor Jr.,RB,SF,0.0,0.0,0.0,0.0,0.0,2.5,13.5,0.0,13.8,0.1,0.0
157,Tyler Goodson,RB,IND,0.0,0.0,0.0,0.0,0.0,2.4,9.9,0.0,13.5,0.1,0.0
158,John Kelly Jr.,RB,CLE,0.0,0.0,0.0,0.0,0.0,2.4,9.9,0.0,13.8,0.1,0.0
159,C.J. Ham,RB,MIN,0.0,0.0,0.0,0.0,0.0,2.2,8.6,0.0,14.7,0.1,0.0
160,Tyrion Davis-Price,RB,PHI,0.0,0.0,0.0,0.0,0.0,2.5,13.5,0.0,8.1,0.1,0.0
161,Mike Boone,RB,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
0,CeeDee Lamb,WR,DAL,0.0,0.0,0.0,0.0,0.0,9.8,68.4,0.8,1495.4,9.7,1.1
1,Tyreek Hill,WR,MIA,0.0,0.0,0.0,0.0,0.0,5.2,30.5,0.1,1542.4,9.8,1.0
2,Ja'Marr Chase,WR,CIN,0.0,0.0,0.0,0.0,0.0,3.0,12.6,0.1,1347.6,9.3,0.7
3,Justin Jefferson,WR,MIN,0.0,0.0,0.0,0.0,0.0,1.2,3.9,0.0,1446.6,7.6,1.0
4,Amon-Ra St. Brown,WR,DET,0.0,0.0,0.0,0.0,0.0,4.5,31.2,0.1,1354.1,8.2,0.9
5,A.J. Brown,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1342.3,8.6,1.3
6,Puka Nacua,WR,LAR,0.0,0.0,0.0,0.0,0.0,9.5,57.6,0.2,1316.1,7.4,0.7
7,Garrett Wilson,WR,NYJ,0.0,0.0,0.0,0.0,0.0,3.9,19.2,0.1,1187.1,8.2,1.3
8,Deebo Samuel Sr.,WR,SF,0.0,0.0,0.0,0.0,0.0,33.9,199.6,3.0,924.0,5.9,1.0
9,Mike Evans,WR,TB,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1121.4,8.4,0.5
10,Chris Olave,WR,NO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1201.5,6.6,0.6
11,Nico Collins,WR,HOU,0.0,0.0,0.0,0.0,0.0,1.6,8.6,0.0,1138.1,7.4,0.5
12,Davante Adams,WR,LV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1153.3,7.0,0.5
