"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Christian McCaffrey","SF","9","RB1","1","1","1","1","","1.0"
"2","CeeDee Lamb","DAL","7","WR1","2","3","2","2","","2.6"
"3","Tyreek Hill","MIA","6","WR2","3","2","3","3","","2.8"
"4","Breece Hall","NYJ","12","RB2","5","8","7","5","","5.4"
"5","Bijan Robinson","ATL","12","RB3","4","6","8","4","","5.4"
"6","Amon-Ra St. Brown","DET","5","WR3","6","7","5","6","","6.2"
"7","Ja'Marr Chase","CIN","12","WR4","7","5","4","8","","6.6"
"8","Justin Jefferson","MIN","6","WR5","8","4","6","7","","7.0"
"9","Saquon Barkley","PHI","5","RB4","10","11","10","9","","9.2"
"10","A.J. Brown","PHI","5","WR6","11","9","9","11","","10.2"
"11","Jonathan Taylor","IND","14","RB5","9","13","12","10","","10.4"
"12","Garrett Wilson","NYJ","12","WR7","12","10","13","13","","12.4"
"13","Jahmyr Gibbs","DET","5","RB6","14","12","14","12","","12.8"
"14","Puka Nacua","LAR","6","WR8","13","16","11","15","","14.2"
"15","Kyren Williams","LAR","6","RB7","15","15","17","16","","15.2"
"16","Marvin Harrison Jr.","ARI","11","WR9","20","14","15","17","","17.2"
"17","Travis Etienne Jr.","JAC","12","RB8","18","18","20","14","","17.4"
"18","Derrick Henry","BAL","14","RB9","17","20","16","21","","17.8"
"19","Isiah Pacheco","KC","6","RB10","16","28","19","18","","20.0"
"20","Davante Adams","LV","10","WR10","21","17","18","22","","21.4"
"21","Travis Kelce","KC","6","TE1","22","21","23","34","","24.6"
"22","Josh Allen","BUF","12","QB1","23","22","27","33","","25.2"
"23","Drake London","ATL","12","WR11","32","19","21","23","","25.8"
"24","Chris Olave","NO","12","WR12","19","23","28","26","","25.8"
"25","De'Von Achane","MIA","6","RB11","37","25","30","19","","27.0"
"26","Nico Collins","HOU","14","WR13","29","31","31","25","","28.8"
"27","Patrick Mahomes II","KC","6","QB2","26","30","24","41","","29.2"
"28","Josh Jacobs","GB","10","RB12","38","27","39","20","","30.0"
"29","James Cook","BUF","12","RB13","28","41","40","28","","31.0"
"30","Deebo Samuel Sr.","SF","9","WR14","39","33","29","24","","31.2"
"31","Mike Evans","TB","11","WR15","24","29","25","43","","31.6"
"32","Sam LaPorta","DET","5","TE2","34","24","33","31","","31.6"
"33","Jalen Hurts","PHI","5","QB3","27","35","35","40","","31.8"
"34","Rachaad White","TB","11","RB14","33","38","32","29","","32.4"
"35","Cooper Kupp","LAR","6","WR16","44","39","26","30","","34.2"
"36","Michael Pittman Jr.","IND","14","WR17","25","40","34","27","","34.6"
"37","Brandon Aiyuk","SF","9","WR18","41","26","22","46","","35.2"
"38","Lamar Jackson","BAL","14","QB4","35","34","36","47","","37.4"
"39","Joe Mixon","HOU","14","RB15","30","47","47","37","","37.6"
"40","Alvin Kamara","NO","12","RB16","31","48","49","35","","40.2"
"41","DK Metcalf","SEA","10","WR19","36","43","46","36","","40.6"
"42","Kenneth Walker III","SEA","10","RB17","43","50","42","32","","41.2"
"43","Jaylen Waddle","MIA","6","WR20","49","36","41","38","","41.4"
"44","Stefon Diggs","HOU","14","WR21","40","32","45","42","","41.8"
"45","DJ Moore","CHI","7","WR22","42","37","51","39","","43.0"
"46","DeVonta Smith","PHI","5","WR23","47","49","37","45","","43.6"
"47","Mark Andrews","BAL","14","TE3","45","45","43","52","","46.0"
"48","Trey McBride","ARI","11","TE4","50","46","38","49","","46.8"
"49","C.J. Stroud","HOU","14","QB5","46","42","44","64","","49.0"
"50","Malik Nabers","NYG","11","WR24","48","44","59","44","","50.4"
"51","Dalton Kincaid","BUF","12","TE5","56","51","53","48","","52.6"
"52","James Conner","ARI","11","RB18","66","63","54","53","","56.0"
"53","Amari Cooper","CLE","10","WR25","67","59","48","58","","56.8"
"54","George Kittle","SF","9","TE6","51","53","50","69","","57.0"
"55","Anthony Richardson","IND","14","QB6","52","56","52","61","","57.4"
"56","Aaron Jones","MIN","6","RB19","57","58","69","54","","58.2"
"57","George Pickens","PIT","9","WR26","64","57","62","56","","59.8"
"58","D'Andre Swift","CHI","7","RB20","59","62","75","50","","61.4"
"59","Joe Burrow","CIN","12","QB7","53","61","57","81","","61.6"
"60","Tee Higgins","CIN","12","WR27","60","60","63","63","","61.8"
